"","Gene","Identity.x","Score.x","Length.x","Mismatches.x","DE.x","Identity.y","Score.y","Length.y","Mismatches.y","DE.y","mismatchRatio","X.1","K12","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_chemostat1","IAI1_chemostat2","IAI1_K12ref_chemostat1","IAI1_K12ref_chemostat2"
"15","accD",913,909,915,2,0,304,1603,304,0,0,0.00218579234972678,15,"accD",1272,5088.46572237824,0.0416357843675095,0.0552360818306172,0.753778743669521,0.450982089717401,0.999807467026667,5063.84396142887,4910.13543003506,5269.75633017173,5110.12716787729
"16","aceA",1291,1263,1305,14,0,434,2333,434,0,0,0.010727969348659,16,"aceA",2183,3639.22269526751,-0.0166538571708265,0.0577426160550452,-0.288415356085541,0.773028814464536,0.999807467026667,3535.13635043148,3805.30274501228,3472.29035282588,3744.1613328004
"17","aceE",2645,2607,2664,19,0,887,4780,887,0,0,0.00713213213213213,17,"aceE",113,18818.6757386019,0.0733569353287589,0.0535588029190374,1.36965225753177,0.170795478580257,0.999807467026667,17757.4455606783,18602.5420141737,19007.5320141721,19907.1833653835
"18","aceF",1864,1806,1893,29,0,630,3204,630,0,0,0.0153195985208664,18,"aceF",114,9885.97250117079,-0.00524680682200578,0.0541735092912596,-0.0968518910930569,0.922844014462078,0.999807467026667,9692.22674039815,10128.3291229073,9660.90055947664,10062.4335819011
"19","aceK",1706,1644,1737,31,0,577,3100,578,1,0,0.0178468624064479,19,"aceK",2184,496.148231959049,0.0469715407182195,0.0613793738547604,0.765265882792588,0.444113235434662,0.999807467026667,462.103322314717,493.937485837215,496.315232550719,532.236887133545
"20","ackA",1201,1197,1203,2,0,400,2128,400,0,0,0.00166251039068994,20,"ackA",1260,3649.24950716053,0.0868330042060104,0.0586467039744978,1.48061183871082,0.138710038813398,0.999807467026667,3308.21881442405,3655.97280743359,3636.13186781849,3996.674538966
"21","acnA",2644,2580,2676,32,0,889,4748,891,2,0,0.0119581464872945,21,"acnA",733,4832.22475672883,-0.00798934717677459,0.0579723412944727,-0.137813084625863,0.890388143001151,0.999807467026667,4631.13886240257,5073.04081648454,4579.89731967652,5044.8220283517
"22","acnB",2563,2493,2598,35,0,864,4596,865,1,0,0.0134719014626636,22,"acnB",116,47911.1140604965,0.00155420526344179,0.0520363121529846,0.0298677058218978,0.976172561373749,0.999807467026667,47183.2296834226,48571.9117943898,47302.290957136,48587.0238070377
"23","acrA",1192,1188,1194,2,0,397,2060,397,0,0,0.0016750418760469,23,"acrA",280,3085.01470089783,0.0398664475678823,0.0581588880335607,0.68547472133369,0.493044406874721,0.999807467026667,2908.58671659721,3133.84015855704,3033.46337114976,3264.16855728732
"24","acrB",3126,3078,3150,24,0,1048,5529,1049,1,0,0.00761904761904762,24,"acrB",279,6006.66042207142,0.0138030611565647,0.0557987240439405,0.247372343957095,0.804620075513065,0.999807467026667,5798.79954363916,6134.01435900169,5872.42482684046,6221.40295880438
"25","acrD",3084,3024,3114,30,0,1036,5505,1037,1,0,0.00963391136801541,25,"acrD",1350,186.797903347953,-0.000174133840951279,0.054201525189047,-0.00321271108781396,0.997436631834353,0.999807467026667,177.308034208232,196.321875977582,174.381027652955,199.180675553044
"26","acrE",1146,1122,1158,12,0,385,2028,385,0,0,0.0103626943005181,26,"acrE",1765,15.436284249633,-0.0023278271326312,0.0211499637260831,-0.110062937354376,0.912359461238943,0.999807467026667,20.2112785107829,11.4869182752841,19.1627502915335,10.8841899209314
"27","acrF",3075,3015,3105,30,0,1030,5423,1034,4,0,0.00966183574879227,27,"acrF",1766,207.162115633959,0.0130565494015309,0.0556890316295859,0.234454595805799,0.814632078176077,0.999807467026667,210.381035407694,197.366141275335,218.455353323482,202.445932529324
"28","acrR",645,639,648,3,0,215,1146,215,0,0,0.00462962962962963,28,"acrR",281,367.169961430369,0.02357258556181,0.0602728914583946,0.391097639277548,0.695725065536437,0.999807467026667,370.233874538432,348.784609449534,386.129418374401,363.531943359108
"29","acs",1948,1926,1959,11,0,652,3501,652,0,0,0.00561510974987238,29,"acs",2216,21625.190104609,0.0257311819578089,0.0550676331120387,0.467265079388052,0.640310237301508,0.999807467026667,20578.756301888,22140.5128429612,21093.3973834056,22688.0938901815
"30","actP",1619,1557,1650,31,0,548,2824,549,1,0,0.0187878787878788,30,"actP",2215,7010.38701038537,-0.0639144552747647,0.0538896434355557,-1.18602483149099,0.235612493385464,0.999807467026667,7219.10120626054,7219.00600336716,6817.14841621306,6786.29241570072
"31","ada",1049,1017,1065,16,0,352,1883,354,2,0,0.0150234741784038,31,"ada",1217,114.402085207754,-0.00504491888604049,0.0482316609707706,-0.104597660219452,0.916695071396739,0.999807467026667,121.267671064697,109.647856264075,117.850914292931,108.841899209314
"32","add",1002,1002,1002,0,0,333,1753,333,0,0,0,32,"add",899,387.964069614337,0.0240757468691426,0.0604926294935502,0.397994715566291,0.690634081056904,0.999807467026667,393.201236482503,366.537119511337,410.082856238818,382.035066224692
"33","adhE",2670,2658,2676,6,0,891,4750,891,0,0,0.00224215246636771,33,"adhE",710,3703.8211213039,0.0397912805549652,0.0563073274535737,0.706680326601786,0.479765158082842,0.999807467026667,3568.20935163094,3694.61062345046,3714.69914401378,3837.76536612041
"34","adhP",981,935,1004,23,0,333,1739,336,3,0,0.0229083665338645,34,"adhP",829,83.9999902325846,-0.0164284653091305,0.0438364997182773,-0.374766813379508,0.707833897501003,0.999807467026667,83.6011974764201,90.8510809045194,76.6510011661342,84.8966813832648
"35","adiA",2257,2235,2268,11,0,753,4109,755,2,0,0.00485008818342152,35,"adiA",2239,32.9081520506967,0.00108560579557522,0.0307490097074749,0.0353053905118549,0.971836225005234,0.999807467026667,33.0730011994629,32.372224230346,33.5348130101837,32.6525697627942
"36","adiC",1327,1305,1338,11,0,444,2274,445,1,0,0.00822122571001495,36,"adiC",2237,14.3745888369817,0.00182455819299028,0.0211499525626934,0.0862677203450865,0.931253598220571,0.999807467026667,15.6178061219686,12.5311835730372,16.2883377478035,13.0610279051177
"37","adiY",761,759,762,1,0,252,1351,253,1,0,0.00131233595800525,37,"adiY",2238,12.4977568446422,0.0016107073709011,0.0199316755028399,0.0808114385903786,0.935591911144581,0.999807467026667,11.9430282109172,12.5311835730372,12.4557876894968,13.0610279051177
"38","adk",642,636,645,3,0,213,1107,214,1,0,0.00465116279069767,38,"adk",286,3728.89661009231,0.0356191475359127,0.0588767913406887,0.604977729336567,0.545193794419355,0.999807467026667,3467.15295907703,3849.16188751792,3602.59705480831,3996.674538966
"39","adrB",1592,1578,1599,7,0,532,2817,532,0,0,0.00437773608505316,39,"yoaD",1011,64.6266825399888,0.00584031521904359,0.0401820589466963,0.145346340434946,0.884437428780716,0.999807467026667,63.3899189656372,63.7001831629389,66.1114885057907,65.3051395255883
"40","aegA",1956,1908,1980,24,0,657,3538,659,2,0,0.0121212121212121,40,"aegA",1348,99.8809400494558,0.00399222899693181,0.0462681684713656,0.0862845694746383,0.93124020450168,0.999807467026667,93.7068367318115,104.42652977531,95.8137514576677,105.576642233034
"41","aer",1504,1470,1521,17,0,502,2672,506,4,0,0.0111768573307035,41,"aer",1662,140.189567283714,-0.0166984619886362,0.0498046842297473,-0.335278945080885,0.737414674887157,0.999807467026667,159.852839130737,128.444631623631,149.469452273962,122.991346106525
"42","aes",950,930,960,10,0,317,1707,319,2,0,0.0104166666666667,42,"aes",288,248.596925406428,0.00704692786003781,0.0573676316018781,0.122838047576067,0.902235344790631,0.999807467026667,256.315759295837,237.048222589953,261.571541479433,239.45217826049
"43","agaC",800,792,804,4,0,266,1376,267,1,0,0.00497512437810945,43,"agaC",1698,15.3769679075282,0.00194845050797733,0.021835250101142,0.0892341740512248,0.928895806733814,0.999807467026667,16.5365005997314,13.5754488707903,17.2464752623802,14.1494468972108
"44","agaD",787,777,792,5,0,262,1372,263,1,0,0.00631313131313131,44,"agaD",1699,25.2943644100334,0.000170614407806519,0.0272604333410559,0.00625868289296645,0.995006326150055,0.999807467026667,27.5608343328857,22.9738365505681,27.7859879227236,22.8567988339559
"45","agaI",738,702,756,18,0,247,1312,251,4,0,0.0238095238095238,45,"agaI",1700,14.6427450840847,-0.0125915173516354,0.0208084217252873,-0.605116405168475,0.545101654642753,0.999807467026667,13.7804171664429,19.8410406573088,8.6232376311901,16.3262848813971
"46","agaR",805,795,810,5,0,269,1412,269,0,0,0.00617283950617284,46,"agaR",1694,480.62723895064,0.0181107030925776,0.0613618738446529,0.29514586106721,0.767882457215803,0.999807467026667,485.070684258789,462.609526904622,499.189645094449,475.639099544702
"47","agaS",1143,1119,1155,12,0,381,2042,384,3,0,0.0103896103896104,47,"agaS",1696,19.9411872079696,-0.000508120525216677,0.0246967076298995,-0.0205744236369998,0.983585143127841,0.999807467026667,20.2112785107829,19.8410406573088,20.1208878061102,19.5915418576765
"48","agp",1235,1221,1242,7,0,412,2223,413,1,0,0.00563607085346216,48,"agp",593,4799.58473569676,0.0224298422391524,0.0550662897131531,0.407324378598815,0.683769759892128,0.999807467026667,4783.6421457112,4712.76928875973,4884.5850493119,4817.34245900423
"49","ahpF",1553,1527,1566,13,0,521,2763,521,0,0,0.00830140485312899,49,"ahpF",354,2591.47988049042,0.0238593965660655,0.0589280809166306,0.404890099845963,0.685558295893524,0.999807467026667,2451.99556114907,2664.9650398659,2517.02725079293,2731.93167015378
"50","aidB",1586,1506,1626,40,0,538,2867,541,3,0,0.02460024600246,50,"aidB",2280,122.622867754459,-0.00197760150497147,0.0494157300393413,-0.0400196759897515,0.968077439686384,0.999807467026667,124.942448975749,121.134774539359,123.599739380391,120.814508122338
"51","ais",589,561,603,14,0,198,1061,200,2,0,0.0232172470978441,51,"ais",1235,134.706937772177,-0.0318725666177302,0.0499592819413395,-0.637970871061635,0.523492641919979,0.999807467026667,131.373310320089,152.462733471952,117.850914292931,137.140793003735
"52","alaS",2600,2538,2631,31,0,873,4662,876,3,0,0.0117825921702775,52,"alaS",1451,11324.9075407869,0.0252682389046381,0.0558893422303098,0.452111939348156,0.651188342946007,0.999807467026667,10756.0749456475,11615.3629069077,11017.6232801172,11910.5690304752
"53","aldA",1432,1416,1440,8,0,477,2525,479,2,0,0.00555555555555556,53,"aldA",797,11044.1885407602,0.0345455900968298,0.0530783850833068,0.650841016406402,0.515149120028833,0.999807467026667,10780.8796965471,10957.4757693232,11129.7253693227,11308.6733278477
"54","aldB",1534,1524,1539,5,0,511,2746,512,1,0,0.0032488628979857,54,"aldB",1934,366.015789786704,0.015296476195404,0.0591104991913064,0.258777652103701,0.79580680171576,0.999807467026667,393.201236482503,327.899303494472,403.375893636781,339.586725533059
"55","alkB",642,624,651,9,0,212,1145,216,4,0,0.0138248847926267,55,"alkB",1216,25.1176154413843,-0.00153390995462087,0.0272992877792026,-0.0561886437121429,0.955191527876067,0.999807467026667,25.72344537736,25.0623671460743,26.827850408147,22.8567988339559
"56","allB",1338,1290,1362,24,0,449,2411,453,4,0,0.0176211453744493,56,"allB",312,118.150121200818,-0.0147769783975748,0.047829793416701,-0.308949241508014,0.757360138504961,0.999807467026667,110.243337331543,132.621692814643,103.478851574281,126.256603082804
"57","allC",1213,1167,1236,23,0,407,2212,411,4,0,0.0186084142394822,57,"allC",316,147.838151228919,-0.0108019055699086,0.0502500281777997,-0.214963174382474,0.829796029947574,0.999807467026667,166.283700475077,134.710223410149,161.925239963458,128.43344106699
"58","allD",1044,1032,1050,6,0,347,1867,349,2,0,0.00571428571428571,58,"allD",317,67.3832469493989,0.0020390462372298,0.0407890889359211,0.0499899921872023,0.960130363429456,0.999807467026667,66.1460023989258,67.8772443539513,68.0277635349441,67.4819775097746
"59","allR",810,800,815,5,0,271,1421,271,0,0,0.00613496932515337,59,"allR",307,785.13849523843,0.0229454490558789,0.0617415909412903,0.371636828692956,0.710163264621231,0.999807467026667,821.312863119995,723.675851342896,848.909837914936,746.655428575893
"60","alr",1073,1059,1080,7,0,357,1894,359,2,0,0.00648148148148148,60,"alr",2209,277.93872143165,0.00282294546038915,0.0586071068299962,0.0481672891408506,0.961582919399165,0.999807467026667,276.52703780662,277.774569202324,278.818016741813,278.635261975843
"61","alx",966,966,966,0,0,321,1641,321,0,0,0,61,"alx",1671,31.5150355479174,0.00764975754773622,0.0295093822323817,0.25923136877267,0.795456729348328,0.999807467026667,24.8047508995972,35.5050201236053,28.7441254373003,37.0062457311667
"62","amiA",858,834,870,12,0,288,1503,289,1,0,0.0137931034482759,62,"amiA",1330,337.605210987163,-0.00262146321674146,0.0589594843928417,-0.0444621123087659,0.964536052091133,0.999807467026667,364.721707671855,312.235324028176,362.175980509984,311.287831738638
"63","amiB",1325,1299,1338,13,0,444,2347,445,1,0,0.00971599402092676,63,"amiB",2268,470.999356324862,-0.013794002124099,0.0613239701378805,-0.22493654753736,0.822028636923669,0.999807467026667,467.615489181295,484.539098157437,455.115319423922,476.727518536795
"64","amiC",1225,1167,1254,29,0,417,2195,417,0,0,0.0231259968102073,64,"amiC",1521,485.076994441617,-0.041815353096019,0.061315953564857,-0.681965306986358,0.495260888346942,0.999807467026667,514.4689075472,487.671894050696,488.650132434106,449.517043734466
"65","amn",1448,1434,1455,7,0,484,2590,484,0,0,0.00481099656357388,65,"amn",1098,404.526339692728,0.0126885821737845,0.0604910558688099,0.209759641182373,0.833855273920442,0.999807467026667,380.339513793823,419.794649696745,388.045693403554,429.92550187679
"66","ampE",855,855,855,0,0,284,1477,284,0,0,0,66,"ampE",110,537.467943751959,0.0281207584138736,0.0616123147972567,0.456414574041059,0.648091887551,0.999807467026667,535.598880535746,516.911322387783,558.594170998203,538.767401086104
"67","ampG",1456,1416,1476,20,0,489,2495,491,2,0,0.013550135501355,67,"ampG",265,175.22802590221,-0.00545366735445772,0.0538553354120073,-0.101265126523412,0.919339998852514,0.999807467026667,182.820201074809,170.215243533755,179.171715225839,168.704943774436
"68","ampH",1143,1113,1158,15,0,385,2057,385,0,0,0.0129533678756477,68,"ampH",231,255.012496252495,-0.00248998929838063,0.0577741633965527,-0.0430986647316681,0.965622883701741,0.999807467026667,261.827926162414,249.57940616299,261.571541479433,247.071111205142
"69","amtB",1261,1209,1287,26,0,427,2172,428,1,0,0.0202020202020202,69,"amtB",276,78.8548892358215,-0.0132793418291111,0.0430052604307501,-0.308784127711409,0.757485743779071,0.999807467026667,84.5198919541829,78.3198973314823,78.5672761952875,74.0124914623334
"70","amyA",1462,1410,1488,26,0,492,2648,495,3,0,0.0174731182795699,70,"amyA",1076,233.322403200939,-0.00242736522372374,0.0570651552349949,-0.0425367321569148,0.966070830210645,0.999807467026667,236.104480785054,231.826896101188,235.701828585863,229.656407331652
"71","anmK",1090,1050,1110,20,0,367,1925,369,2,0,0.018018018018018,71,"anmK",910,765.488764678356,-0.0345528702900213,0.0616149151685864,-0.56078743589081,0.574942452769038,0.999807467026667,779.052917142903,786.331769208082,744.472848826078,752.097523536359
"72","ansA",1005,981,1017,12,0,337,1799,338,1,0,0.0117994100294985,72,"ansA",979,366.404411370274,0.014626346843836,0.060399127344215,0.242161559064925,0.808654980075547,0.999807467026667,361.046929760803,362.360058320325,368.882943112021,373.327714287946
"73","ansB",1043,1035,1047,4,0,346,1810,348,2,0,0.00382043935052531,73,"ansB",1604,147.605575667834,0.0129361599995222,0.0507486773944159,0.254906347587803,0.798795433519944,0.999807467026667,131.373310320089,157.684059960718,137.013664584465,164.351267806064
"74","ansP",1489,1467,1500,11,0,498,2599,499,1,0,0.00733333333333333,74,"ansP",817,173.694679301081,0.0100244432665661,0.0538538706470544,0.186141555771617,0.852333754550326,0.999807467026667,174.551950774943,168.126712938249,180.129852740415,171.970200750716
"75","apaH",825,789,843,18,0,279,1491,280,1,0,0.0213523131672598,75,"apaH",69,234.46734701682,-0.0264468482663724,0.0556803029047312,-0.474976731208214,0.634803558548803,0.999807467026667,262.746620640177,221.384243123657,249.115753789936,204.62277051351
"76","aphA",707,693,714,7,0,236,1257,237,1,0,0.00980392156862745,76,"aphA",2211,930.618345297974,0.0110582996094488,0.0612320309803836,0.180596649047807,0.856684186306528,0.999807467026667,930.637505973775,917.909196724972,938.974764285144,934.951914208006
"77","appA",1298,1296,1299,1,0,431,2276,432,1,0,0.000769822940723634,77,"appA",582,70.7851355625374,0.00780911805184026,0.0414859140067326,0.188235410471442,0.850692115065749,0.999807467026667,70.73947478774,67.8772443539513,73.7765886224042,70.747234486054
"78","appB",1127,1107,1137,10,0,378,1929,378,0,0,0.00879507475813544,78,"cbdB",581,36.5595236633125,-0.00597247274076395,0.0320331912597038,-0.186446385948347,0.852094719368412,0.999807467026667,37.6664735882772,37.5935507191115,38.3255005830671,32.6525697627942
"79","appC",1538,1524,1545,7,0,511,2691,514,3,0,0.00453074433656958,79,"cbdA",580,181.132262874471,0.0158709786232847,0.0544095983717965,0.291694463811949,0.770520242475957,0.999807467026667,178.226728685994,176.480835320273,185.878677827875,183.94280966374
"80","aqpZ",694,690,696,2,0,230,1145,231,1,0,0.0028735632183908,80,"aqpZ",513,70.4840158315634,-0.0059876757338085,0.0402072168589308,-0.148920422789187,0.881616425853416,0.999807467026667,81.7638085208943,61.6116525674327,77.6091386807109,60.9514635572158
"81","araA",1481,1437,1503,22,0,498,2696,500,2,0,0.0146373918829009,81,"araA",78,150.13549933614,-0.0173695332305899,0.0521190064749061,-0.333266775508332,0.738932916534411,0.999807467026667,152.503283308634,155.595529365211,146.595039730232,145.848144940481
"82","araC",869,849,879,10,0,292,1570,292,0,0,0.0113765642775882,82,"araC",79,1220.00602210357,0.0137205805486278,0.0611761765020129,0.224279798659473,0.822539594177423,0.999807467026667,1267.79837931274,1151.82462342167,1292.52750716394,1167.87357851594
"83","araD",694,690,696,2,0,229,1237,231,2,0,0.0028735632183908,83,"araD",77,28.8294586672027,0.00210680401249508,0.0289206792841667,0.0728476669511875,0.941927338950052,0.999807467026667,26.6421398551229,30.2836936348398,26.827850408147,31.564150770701
"84","araE",1402,1368,1419,17,0,472,2461,472,0,0,0.0119802677942213,84,"araE",1538,345.709934976743,-0.00875299259820344,0.0600871241486202,-0.145671684611726,0.884180575293384,0.999807467026667,349.103901549886,347.740344151781,342.055092703874,343.940401501432
"85","araF",990,990,990,0,0,329,1735,329,0,0,0,85,"araF",1064,1577.85373485921,0.0379373682066841,0.0596211033984959,0.636307717304694,0.524575875899548,0.999807467026667,1574.64233488554,1515.22894703974,1642.24769998443,1579.29595752714
"86","araG",1494,1452,1515,21,0,502,2659,504,2,0,0.0138613861386139,86,"araG",1063,744.868765699192,-0.0114934257808813,0.061700219734711,-0.186278522674619,0.852226349106309,0.999807467026667,729.443415343709,771.712055039539,718.603135932508,759.716456481011
"87","araH",972,942,987,15,0,327,1648,328,1,0,0.0151975683890578,87,"araH",1062,389.935493381937,0.00725254602160665,0.0604730475573228,0.119930222050276,0.904538423520418,0.999807467026667,373.908652449483,400.997874337189,375.589905714058,409.24554102702
"88","araJ",1161,1113,1185,24,0,390,1983,394,4,0,0.020253164556962,88,"araJ",241,99.9963433142889,-0.0386826753740753,0.046150392449735,-0.83818735487909,0.401925487779748,0.999807467026667,116.674198675883,99.2052032865442,94.8556139430911,89.2503573516373
"89","arcA",712,702,717,5,0,238,1259,238,0,0,0.00697350069735007,89,"arcA",2358,4242.36701160917,0.0150102216553382,0.0559455304702596,0.268300640447365,0.788467913282546,0.999807467026667,4296.73407249689,4125.89219142249,4342.2792160615,4204.56256645579
"90","arcB",2329,2313,2337,8,0,778,4115,778,0,0,0.00342319212665811,90,"arcB",1737,1470.77180029389,0.0321508526766173,0.0597909827815999,0.537720759567636,0.590769845033747,0.999807467026667,1423.97644053243,1465.1042127476,1474.57363493351,1519.43291296202
"91","argA",1319,1293,1332,13,0,442,2350,443,1,0,0.00975975975975976,91,"argA",1522,2646.93246655974,-0.0130313358744034,0.0595445392055242,-0.218850226205032,0.826766720243383,0.999807467026667,2531.92198071444,2799.67526327605,2488.28312535563,2767.84949689285
"92","argB",774,774,774,0,0,257,1318,257,0,0,0,92,"argB",2155,899.410908697146,0.0288004133865216,0.0616916119543498,0.466844883350319,0.64061086115367,0.999807467026667,804.776362520263,956.547012741837,839.32846276917,996.991796757315
"93","argC",1005,1005,1005,0,0,334,1774,334,0,0,0,93,"argC",2154,1147.75326848669,0.0348147201550408,0.0605977579610288,0.574521588363558,0.565614896022479,0.999807467026667,1125.4007352595,1123.62946038233,1170.8440428127,1171.13883549222
"94","argD",1207,1179,1221,14,0,404,2147,406,2,0,0.0114660114660115,94,"argD",1791,1646.52078258768,0.0100460149644694,0.0594751695012228,0.168911077491976,0.865866585821034,0.999807467026667,1603.12186369619,1671.86874170271,1624.04308720747,1687.04943774436
"95","argE",1146,1134,1152,6,0,382,2044,383,1,0,0.00520833333333333,95,"argE",2153,766.211947502711,0.0142848800456429,0.0616817104380835,0.231590206305679,0.816856314970102,0.999807467026667,736.792971165812,781.110442719316,750.221673913538,796.722702212177
"96","argG",1325,1287,1344,19,0,446,2398,447,1,0,0.0141369047619048,96,"argG",1715,3992.73216110161,-0.0264232919170566,0.0584767717299464,-0.451859621100202,0.651370115145491,0.999807467026667,3842.89900048203,4253.29255774836,3753.98278211142,4120.75430406462
"97","argH",1364,1344,1374,10,0,454,2399,456,2,0,0.00727802037845706,97,"argH",2156,1668.87563692629,0.0256462744692671,0.0595801761505565,0.430449792636734,0.666868481442431,0.999807467026667,1602.20316921842,1688.57698646676,1650.87093761562,1733.85145440437
"98","argI",972,906,1005,33,0,332,1787,334,2,0,0.0328358208955224,98,"argI",34,736.302626119222,-0.155000915957468,0.0617193934440703,-2.51138106368346,0.0120259802635068,0.83439080710625,788.239861920532,837.500768797984,638.119584708067,681.350289050305
"99","argK",989,975,996,7,0,329,1755,331,2,0,0.0070281124497992,99,"argK",1580,13.2228171402338,0.00156428296917662,0.019696191037552,0.0794205827001891,0.936698097723243,0.999807467026667,9.18694477762858,16.7082447640495,9.58137514576677,17.4147038734902
"100","argO",608,552,636,28,0,207,1068,211,4,0,0.0440251572327044,100,"argO",1585,109.856497486966,-0.088078841291139,0.0478769626420225,-1.83969150152041,0.065813541954837,0.999807467026667,128.6172268868,127.400366325878,91.981201399361,91.4271953358236
"101","argP",890,882,894,4,0,297,1568,297,0,0,0.00447427293064877,101,"argP",1578,479.794017099764,0.026342257515492,0.0614145524529324,0.428925335500581,0.667977561880084,0.999807467026667,472.208961570109,467.830853393387,491.524544977836,487.611708457726
"102","argS",1718,1686,1734,16,0,575,3086,577,2,0,0.00922722029988466,102,"argS",1049,2131.48437935822,0.00637564900926047,0.0581084684965233,0.109719790836372,0.912631604360118,0.999807467026667,2124.94032706549,2124.0356156298,2149.10244519549,2127.85912954209
"103","arnT",1642,1620,1653,11,0,547,2870,550,3,0,0.00665456745311555,103,"arnT",1240,367.096770359794,0.017467962203196,0.0602586721025631,0.289882959476184,0.771905778533055,0.999807467026667,372.98995797172,349.828874747287,384.213143345248,361.355105374922
"104","aroA",1275,1257,1284,9,0,427,2276,427,0,0,0.00700934579439252,104,"aroA",539,1768.21666400413,0.0275346495433294,0.0607456611794915,0.453277633475252,0.650348836358574,0.999807467026667,1637.11355937341,1842.08398523646,1691.11271322784,1902.55639817881
"105","aroB",1085,1077,1089,4,0,361,1899,362,1,0,0.00367309458218549,105,"aroB",1810,3124.40317172328,0.0409956028905346,0.0571851452504356,0.716892520094147,0.473440417659154,0.999807467026667,2991.26921959586,3128.61883206828,3116.82133491793,3260.90330031104
"106","aroC",1050,978,1086,36,0,360,1903,361,1,0,0.0331491712707182,106,"aroC",1282,1113.02038561958,-0.122239834156178,0.060890009833104,-2.00755155880629,0.0446909665401148,0.999807467026667,1219.10757199131,1168.53286818572,1058.74195360723,1005.69914869406
