Gene	Identity	Score	Length	Mismatches	DE
VV1_RS05025	373	2000.0	377	4	0
VV1_RS01400	392	2091.0	393	1	0
VV1_RS06680	257	1370.0	258	1	0
VV1_RS03295	420	2206.0	421	1	0
VV1_RS01155	880	4726.0	883	3	0
VV1_RS14360	318	1623.0	318	0	0
VV1_RS03420	449	2414.0	453	4	0
VV1_RS03355	241	1254.0	241	0	0
VV1_RS03425	338	1801.0	338	0	0
VV1_RS00975	309	1643.0	311	2	0
VV1_RS13565	528	2810.0	530	2	0
VV1_RS04380	197	1023.0	201	4	0
VV1_RS11165	369	1990.0	371	2	0
VV1_RS13560	432	2301.0	437	5	0
VV1_RS14320	213	1136.0	213	0	0
VV1_RS02925	455	2337.0	455	0	0
VV1_RS02500	382	1940.0	382	0	0
VV1_RS07005	427	2307.0	427	0	0
VV1_RS13445	550	2958.0	553	3	0
VV1_RS02505	381	2036.0	382	1	0
VV1_RS05495	392	2029.0	395	3	0
VV1_RS15060	404	2172.0	404	0	0
VV1_RS06755	290	1546.0	290	0	0
VV1_RS04260	308	1663.0	308	0	0
VV1_RS07605	376	1896.0	376	0	0
VV1_RS13725	298	1569.0	301	3	0
VV1_RS13725	4	25.0	8	4	0
VV1_RS01085	308	1625.0	308	0	0
VV1_RS00065	443	2376.0	443	0	0
VV1_RS14235	336	1776.0	338	2	0
VV1_RS01080	274	1451.0	275	1	0
VV1_RS11675	398	2123.0	402	4	0
VV1_RS09135	487	2583.0	487	0	0
VV1_RS09270	353	1814.0	356	3	0
VV1_RS07600	591	3146.0	596	5	0
VV1_RS00935	307	1647.0	308	1	0
VV1_RS12600	207	1087.0	207	0	0
VV1_RS06535	834	4485.0	837	3	0
VV1_RS02110	432	2304.0	432	0	0
VV1_RS06530	298	1571.0	299	1	0
VV1_RS11245	1012	5453.0	1014	2	0
VV1_RS14705	230	1184.0	230	0	0
VV1_RS11240	229	1206.0	229	0	0
VV1_RS11185	236	1278.0	237	1	0
VV1_RS06430	305	1575.0	305	0	0
VV1_RS08615	255	1339.0	255	0	0
VV1_RS08615	7	37.0	22	15	0
VV1_RS13625	228	1241.0	231	3	0
VV1_RS07205	268	1423.0	272	4	0
VV1_RS12645	349	1883.0	350	1	0
VV1_RS08610	414	2164.0	414	0	0
VV1_RS01235	314	1629.0	314	0	0
VV1_RS10535	450	2374.0	451	1	0
VV1_RS02575	261	1397.0	263	2	0
VV1_RS10530	427	2148.0	428	1	0
VV1_RS01490	521	2728.0	521	0	0
VV1_RS12880	304	1622.0	306	2	0
VV1_RS01495	458	2445.0	458	0	0
VV1_RS01495	11	33.0	24	13	0
VV1_RS12885	342	1817.0	342	0	0
VV1_RS14400	235	1261.0	235	0	0
VV1_RS07930	359	1847.0	361	2	0
VV1_RS05225	263	1362.0	265	2	0
VV1_RS09695	346	1831.0	350	4	0
VV1_RS07935	430	2289.0	431	1	0
VV1_RS05220	443	2359.0	444	1	0
VV1_RS04310	838	4492.0	843	5	0
VV1_RS11100	311	1662.0	311	0	0
VV1_RS04315	461	2483.0	463	2	0
VV1_RS09975	206	1096.0	207	1	0
VV1_RS09750	666	3497.0	670	4	0
VV1_RS00650	230	1198.0	233	3	0
VV1_RS00120	442	2346.0	446	4	0
VV1_RS04910	508	2711.0	509	1	0
VV1_RS09810	397	2073.0	401	4	0
VV1_RS02940	626	3365.0	626	0	0
VV1_RS02600	405	2159.0	408	3	0
VV1_RS00085	615	3212.0	619	4	0
VV1_RS06220	226	1193.0	228	2	0
VV1_RS12505	397	2126.0	399	2	0
VV1_RS02605	257	1375.0	258	1	0
VV1_RS13190	339	1815.0	339	0	0
VV1_RS06225	337	1826.0	338	1	0
VV1_RS13055	511	2594.0	513	2	0
VV1_RS06135	371	1991.0	373	2	0
VV1_RS08970	280	1528.0	281	1	0
VV1_RS09900	758	4100.0	758	0	0
VV1_RS08875	433	2286.0	436	3	0
VV1_RS11015	244	1238.0	246	2	0
VV1_RS06980	502	2690.0	502	0	0
VV1_RS08870	319	1687.0	319	0	0
VV1_RS06985	363	1890.0	366	3	0
VV1_RS05660	303	1620.0	307	4	0
VV1_RS10400	305	1642.0	309	4	0
VV1_RS10405	803	4297.0	807	4	0
VV1_RS10405	28	60.0	120	92	0
VV1_RS05745	246	1285.0	246	0	0
VV1_RS07295	287	1482.0	287	0	0
VV1_RS00155	307	1598.0	307	0	0
VV1_RS06860	296	1552.0	296	0	0
VV1_RS00150	285	1471.0	285	0	0
VV1_RS13615	342	1837.0	347	5	0
VV1_RS02935	760	4031.0	761	1	0
VV1_RS02280	317	1685.0	317	0	0
VV1_RS02930	354	1806.0	355	1	0
VV1_RS03130	623	3321.0	626	3	0
VV1_RS13880	533	2751.0	533	0	0
VV1_RS03080	583	3108.0	585	2	0
VV1_RS04520	222	1147.0	222	0	0
VV1_RS03085	357	1912.0	360	3	0
VV1_RS01200	269	1417.0	269	0	0
VV1_RS08275	487	2532.0	488	1	0
VV1_RS00885	630	3378.0	634	4	0
VV1_RS03120	219	1177.0	220	1	0
VV1_RS14910	674	3561.0	678	4	0
VV1_RS01630	488	2614.0	490	2	0
VV1_RS07095	199	1012.0	203	4	0
VV1_RS12370	351	1851.0	352	1	0
VV1_RS04960	471	2541.0	473	2	0
VV1_RS07180	388	2094.0	389	1	0
VV1_RS00720	289	1485.0	290	1	0
VV1_RS14700	209	1119.0	211	2	0
VV1_RS00230	450	2411.0	455	5	0
VV1_RS06165	429	2263.0	429	0	0
VV1_RS13280	595	3199.0	599	4	0
VV1_RS05520	280	1468.0	280	0	0
VV1_RS02300	465	2527.0	466	1	0
VV1_RS09705	619	3204.0	623	4	0
VV1_RS02735	206	1041.0	206	0	0
VV1_RS02730	270	1450.0	273	3	0
VV1_RS12575	334	1764.0	336	2	0
VV1_RS10165	483	2503.0	486	3	0
VV1_RS13795	289	1533.0	291	2	0
VV1_RS07740	205	1098.0	205	0	0
VV1_RS06780	216	1127.0	216	0	0
VV1_RS01330	472	2532.0	474	2	0
VV1_RS07425	243	1257.0	243	0	0
VV1_RS08205	458	2424.0	459	1	0
VV1_RS01335	369	1950.0	370	1	0
VV1_RS04990	424	2267.0	426	2	0
VV1_RS08200	781	4196.0	782	1	0
VV1_RS00210	252	1355.0	252	0	0
VV1_RS14965	360	1947.0	361	1	0
VV1_RS10710	446	2374.0	451	5	0
VV1_RS06315	315	1664.0	318	3	0
VV1_RS01110	211	1115.0	211	0	0
VV1_RS12830	392	2103.0	395	3	0
VV1_RS04865	513	2684.0	513	0	0
VV1_RS01115	377	2026.0	377	0	0
VV1_RS01440	473	2446.0	474	1	0
VV1_RS01520	206	1081.0	208	2	0
VV1_RS13080	209	1101.0	211	2	0
VV1_RS08385	383	2038.0	386	3	0
VV1_RS05295	1043	5606.0	1048	5	0
VV1_RS12800	535	2789.0	539	4	0
VV1_RS01525	307	1632.0	307	0	0
VV1_RS08380	351	1908.0	355	4	0
VV1_RS03540	287	1454.0	290	3	0
VV1_RS00830	556	3000.0	556	0	0
VV1_RS01685	519	2654.0	519	0	0
VV1_RS07915	557	2992.0	557	0	0
VV1_RS12460	213	1078.0	216	3	0
VV1_RS05450	402	2051.0	405	3	0
VV1_RS12685	247	1302.0	252	5	0
VV1_RS02545	344	1852.0	344	0	0
VV1_RS13400	363	1940.0	364	1	0
VV1_RS10570	208	1103.0	210	2	0
VV1_RS14045	217	1156.0	222	5	0
VV1_RS14355	634	3308.0	639	5	0
VV1_RS05985	465	2430.0	467	2	0
VV1_RS05985	9	32.0	22	13	0
VV1_RS02425	595	3096.0	598	3	0
VV1_RS13370	272	1458.0	274	2	0
VV1_RS05240	594	3183.0	598	4	0
VV1_RS08470	298	1585.0	298	0	0
VV1_RS07630	209	1131.0	210	1	0
VV1_RS05505	322	1697.0	322	0	0
VV1_RS08475	323	1649.0	325	2	0
VV1_RS14785	371	1960.0	371	0	0
VV1_RS12480	324	1729.0	325	1	0
VV1_RS13170	221	1172.0	221	0	0
VV1_RS07910	328	1697.0	328	0	0
VV1_RS07015	443	2296.0	443	0	0
VV1_RS07735	475	2475.0	475	0	0
VV1_RS03495	298	1598.0	300	2	0
VV1_RS10830	515	2643.0	515	0	0
VV1_RS02010	325	1731.0	325	0	0
VV1_RS02015	298	1607.0	300	2	0
VV1_RS05500	225	1180.0	225	0	0
VV1_RS08650	354	1891.0	354	0	0
VV1_RS06000	252	1347.0	252	0	0
VV1_RS00195	353	1912.0	356	3	0
VV1_RS08655	634	3407.0	639	5	0
VV1_RS08655	7	39.0	23	16	0
VV1_RS14890	279	1497.0	279	0	0
VV1_RS06005	601	3235.0	605	4	0
VV1_RS05810	322	1733.0	322	0	0
VV1_RS01745	424	2149.0	426	2	0
VV1_RS12835	246	1285.0	247	1	0
VV1_RS10575	394	2084.0	396	2	0
VV1_RS11115	276	1459.0	276	0	0
VV1_RS04540	263	1407.0	268	5	0
VV1_RS11000	426	2238.0	430	4	0
VV1_RS03260	296	1565.0	297	1	0
VV1_RS05180	325	1675.0	325	0	0
VV1_RS12725	251	1336.0	256	5	0
VV1_RS04545	220	1122.0	223	3	0
VV1_RS12720	449	2324.0	453	4	0
VV1_RS05185	309	1600.0	312	3	0
VV1_RS10370	329	1762.0	331	2	0
VV1_RS10375	255	1323.0	256	1	0
VV1_RS10185	377	1966.0	378	1	0
NUDF	211	1108.0	211	0	0
VV1_RS09835	581	3074.0	583	2	0
VV1_RS09380	310	1658.0	310	0	0
VV1_RS14215	474	2437.0	476	2	0
VV1_RS03065	624	3277.0	624	0	0
VV1_RS04355	254	1370.0	256	2	0
VV1_RS04350	347	1855.0	347	0	0
VV1_RS07185	200	1075.0	200	0	0
VV1_RS07185	12	38.0	49	37	0
VV1_RS09015	483	2549.0	484	1	0
VV1_RS10900	435	2296.0	437	2	0
VV1_RS04210	195	1016.0	200	5	0
VV1_RS06175	325	1691.0	326	1	0
VV1_RS06760	215	1157.0	215	0	0
VV1_RS11215	294	1560.0	295	1	0
VV1_RS14620	543	2908.0	543	0	0
VV1_RS13905	204	1088.0	205	1	0
VV1_RS02860	601	3202.0	603	2	0
VV1_RS02645	318	1690.0	318	0	0
VV1_RS13935	255	1380.0	257	2	0
VV1_RS06265	210	1119.0	210	0	0
VV1_RS02640	426	2265.0	426	0	0
VV1_RS06260	259	1381.0	263	4	0
VV1_RS08830	804	4238.0	804	0	0
VV1_RS12945	433	2301.0	434	1	0
VV1_RS02160	267	1410.0	267	0	0
VV1_RS06500	376	2021.0	378	2	0
VV1_RS10885	489	2635.0	492	3	0
VV1_RS03265	308	1569.0	310	2	0
VV1_RS11140	277	1474.0	277	0	0
VV1_RS13710	261	1386.0	261	0	0
VV1_RS06465	424	2235.0	424	0	0
VV1_RS02080	204	1025.0	204	0	0
VV1_RS07250	226	1228.0	228	2	0
VV1_RS12610	596	3120.0	599	3	0
CYSJ	615	3244.0	616	1	0
VV1_RS10870	399	2154.0	401	2	0
VV1_RS10955	430	2304.0	434	4	0
VV1_RS12750	213	1125.0	213	0	0
VV1_RS14190	482	2523.0	482	0	0
VV1_RS10725	570	3060.0	571	1	0
VV1_RS11030	463	2501.0	465	2	0
VV1_RS13530	575	3097.0	580	5	0
VV1_RS05175	517	2780.0	518	1	0
VV1_RS13510	826	4370.0	831	5	0
VV1_RS14220	254	1350.0	255	1	0
VV1_RS05170	571	3040.0	571	0	0
VV1_RS14335	269	1400.0	270	1	0
VV1_RS09330	259	1379.0	262	3	0
VV1_RS07960	395	2091.0	395	0	0
VV1_RS09335	434	2311.0	438	4	0
VV1_RS05275	450	2399.0	451	1	0
VV1_RS00130	453	2290.0	453	0	0
VV1_RS03165	251	1324.0	255	4	0
VV1_RS00765	252	1338.0	252	0	0
VV1_RS13965	269	1438.0	269	0	0
VV1_RS14950	287	1539.0	288	1	0
VV1_RS00600	323	1730.0	323	0	0
VV1_RS10875	367	1954.0	368	1	0
VV1_RS02345	855	4490.0	857	2	0
VV1_RS14520	206	1086.0	206	0	0
VV1_RS04920	311	1659.0	312	1	0
VV1_RS10085	266	1405.0	266	0	0
VV1_RS04070	253	1332.0	254	1	0
VV1_RS06650	326	1767.0	326	0	0
VV1_RS04075	452	2361.0	453	1	0
VV1_RS09830	749	3913.0	749	0	0
VV1_RS12430	264	1360.0	265	1	0
VV1_RS02265	725	3826.0	730	5	0
VV1_RS04770	362	1914.0	366	4	0
VV1_RS06210	816	4369.0	817	1	0
VV1_RS08910	253	1366.0	255	2	0
VV1_RS06215	247	1301.0	247	0	0
VV1_RS00135	220	1171.0	221	1	0
VV1_RS08905	252	1348.0	252	0	0
VV1_RS08900	524	2795.0	527	3	0
VV1_RS08270	246	1259.0	248	2	0
VV1_RS10750	292	1564.0	297	5	0
VV1_RS10755	305	1633.0	305	0	0
VV1_RS10775	283	1514.0	288	5	0
VV1_RS06185	437	2318.0	438	1	0
VV1_RS09510	236	1231.0	239	3	0
VV1_RS10450	398	2108.0	398	0	0
VV1_RS00285	407	2199.0	409	2	0
VV1_RS11295	323	1735.0	327	4	0
VV1_RS12785	244	1298.0	244	0	0
RELA	740	3970.0	741	1	0
FADH	667	3568.0	670	3	0
VV1_RS08820	399	2119.0	402	3	0
VV1_RS06810	406	2134.0	406	0	0
VV1_RS05005	365	1896.0	365	0	0
VV1_RS00160	414	2178.0	415	1	0
VV1_RS13035	231	1195.0	231	0	0
VV1_RS08345	475	2477.0	478	3	0
VV1_RS14195	392	2107.0	392	0	0
VV1_RS12680	230	1233.0	230	0	0
VV1_RS01565	332	1753.0	334	2	0
VV1_RS12975	267	1401.0	269	2	0
VV1_RS09930	224	1162.0	225	1	0
VV1_RS03930	233	1256.0	236	3	0
MURF	450	2382.0	453	3	0
VV1_RS12970	216	1144.0	216	0	0
VV1_RS03505	574	2947.0	574	0	0
VV1_RS01395	263	1409.0	264	1	0
VV1_RS03110	252	1323.0	253	1	0
VV1_RS03500	207	1092.0	207	0	0
VV1_RS01640	352	1839.0	352	0	0
VV1_RS03115	469	2439.0	470	1	0
VV1_RS01390	373	1898.0	373	0	0
VV1_RS13525	233	1245.0	233	0	0
VV1_RS05415	274	1478.0	276	2	0
VV1_RS12320	529	2842.0	530	1	0
VV1_RS11070	314	1646.0	314	0	0
VV1_RS00265	201	1048.0	202	1	0
VV1_RS14555	396	2105.0	396	0	0
VV1_RS05555	466	2489.0	466	0	0
VV1_RS10010	231	1269.0	232	1	0
VV1_RS12440	219	1173.0	220	1	0
VV1_RS11320	319	1711.0	320	1	0
VV1_RS05550	268	1421.0	270	2	0
VV1_RS12445	308	1653.0	310	2	0
VV1_RS09565	285	1494.0	285	0	0
VV1_RS02745	258	1301.0	259	1	0
VV1_RS01990	208	1044.0	209	1	0
VV1_RS10150	284	1524.0	288	4	0
VV1_RS01995	326	1721.0	328	2	0
VV1_RS02740	281	1498.0	281	0	0
VV1_RS10640	207	1100.0	208	1	0
VV1_RS04785	222	1137.0	223	1	0
VV1_RS04785	5	22.0	14	9	0
VV1_RS08335	460	2361.0	464	4	0
VV1_RS13130	234	1256.0	235	1	0
VV1_RS08150	362	1926.0	362	0	0
VV1_RS08330	299	1596.0	301	2	0
VV1_RS04780	249	1305.0	250	1	0
VV1_RS10625	570	3054.0	571	1	0
VV1_RS13495	816	4302.0	817	1	0
VV1_RS10985	461	2413.0	462	1	0
VV1_RS08695	229	1199.0	231	2	0
VV1_RS08165	419	2100.0	420	1	0
VV1_RS03190	256	1365.0	260	4	0
VV1_RS06735	447	2371.0	449	2	0
VV1_RS09890	623	3212.0	626	3	0
VV1_RS08160	262	1408.0	265	3	0
VV1_RS01020	385	1995.0	385	0	0
VV1_RS06325	326	1713.0	326	0	0
VV1_RS05850	395	2059.0	396	1	0
VV1_RS14325	356	1894.0	359	3	0
VV1_RS04585	313	1665.0	313	0	0
VV1_RS08120	678	3618.0	679	1	0
VV1_RS13590	562	2902.0	566	4	0
VV1_RS01415	321	1726.0	321	0	0
VV1_RS10230	259	1362.0	260	1	0
VV1_RS09895	324	1736.0	326	2	0
VV1_RS13775	280	1461.0	280	0	0
VV1_RS00945	283	1483.0	284	1	0
VV1_RS05300	257	1340.0	259	2	0
VV1_RS04395	302	1532.0	302	0	0
VV1_RS12255	266	1389.0	268	2	0
VV1_RS00865	460	2401.0	462	2	0
VV1_RS03180	465	2492.0	466	1	0
VV1_RS04250	541	2915.0	542	1	0
VV1_RS08190	203	1048.0	203	0	0
VV1_RS00780	468	2377.0	468	0	0
VV1_RS02515	270	1376.0	271	1	0
VV1_RS12210	451	2321.0	456	5	0
VV1_RS13285	210	1105.0	212	2	0
VV1_RS08580	465	2445.0	466	1	0
VV1_RS14600	331	1763.0	331	0	0
VV1_RS14445	958	5130.0	959	1	0
VV1_RS04155	252	1318.0	255	3	0
VV1_RS13220	242	1287.0	244	2	0
VV1_RS04090	209	1078.0	210	1	0
VV1_RS14740	206	1112.0	209	3	0
VV1_RS04095	404	2114.0	405	1	0
VV1_RS08180	406	2160.0	406	0	0
PHEA	392	2081.0	392	0	0
VV1_RS07950	1060	5534.0	1060	0	0
VV1_RS14875	611	3246.0	616	5	0
VV1_RS07955	426	2274.0	430	4	0
VV1_RS09365	922	4997.0	925	3	0
VV1_RS08760	343	1810.0	345	2	0
VV1_RS10420	817	4391.0	822	5	0
VV1_RS11275	333	1809.0	336	3	0
VV1_RS02045	487	2547.0	487	0	0
VV1_RS10480	495	2670.0	497	2	0
VV1_RS10480	4	28.0	6	2	0
VV1_RS06030	440	2375.0	441	1	0
VV1_RS10485	317	1716.0	318	1	0
VV1_RS06035	382	1994.0	387	5	0
VV1_RS08605	446	2376.0	446	0	0
VV1_RS07215	345	1835.0	345	0	0
VV1_RS10520	362	1939.0	362	0	0
VV1_RS00995	572	3006.0	574	2	0
VV1_RS07210	234	1254.0	236	2	0
VV1_RS01730	296	1545.0	299	3	0
VV1_RS13760	394	2139.0	394	0	0
VV1_RS14310	211	1110.0	213	2	0
VV1_RS04510	433	2323.0	435	2	0
VV1_RS10240	345	1839.0	346	1	0
VV1_RS11235	229	1207.0	229	0	0
VV1_RS15005	289	1533.0	289	0	0
VV1_RS04515	497	2610.0	497	0	0
VV1_RS12890	400	2032.0	401	1	0
VV1_RS03330	320	1609.0	321	1	0
VV1_RS12895	364	1896.0	365	1	0
VV1_RS03335	320	1671.0	323	3	0
VV1_RS13910	455	2423.0	456	1	0
VV1_RS05235	332	1767.0	335	3	0
VV1_RS05230	297	1554.0	298	1	0
VV1_RS12925	467	2416.0	467	0	0
VV1_RS07920	1127	6022.0	1129	2	0
VV1_RS09795	254	1358.0	255	1	0
VV1_RS09960	260	1336.0	260	0	0
VV1_RS09745	386	2045.0	386	0	0
VV1_RS06610	255	1342.0	255	0	0
VV1_RS09740	250	1321.0	252	2	0
VV1_RS12265	303	1581.0	303	0	0
VV1_RS02385	650	3474.0	651	1	0
VV1_RS14170	462	2438.0	465	3	0
VV1_RS12620	884	4641.0	885	1	0
FOLP	273	1438.0	276	3	0
VV1_RS14710	212	1127.0	213	1	0
VV1_RS02950	272	1449.0	274	2	0
VV1_RS02225	258	1373.0	258	0	0
VV1_RS13955	282	1476.0	283	1	0
VV1_RS13490	373	1984.0	374	1	0
VV1_RS08940	223	1202.0	225	2	0
VV1_RS14770	212	1082.0	212	0	0
VV1_RS02630	291	1554.0	293	2	0
VV1_RS14775	285	1497.0	286	1	0
VV1_RS06250	339	1831.0	339	0	0
VV1_RS13045	323	1701.0	323	0	0
VV1_RS13865	345	1815.0	346	1	0
VV1_RS07800	235	1274.0	238	3	0
VV1_RS06990	357	1849.0	357	0	0
VV1_RS13850	244	1265.0	245	1	0
VV1_RS10790	399	2023.0	401	2	0
VV1_RS12780	481	2559.0	482	1	0
VV1_RS07045	417	2236.0	418	1	0
VV1_RS13435	299	1492.0	301	2	0
VV1_RS10415	817	4382.0	820	3	0
VV1_RS06855	346	1795.0	347	1	0
VV1_RS05770	362	1915.0	362	0	0
VV1_RS10410	767	4158.0	768	1	0
VV1_RS11230	220	1128.0	221	1	0
VV1_RS05040	303	1637.0	305	2	0
VV1_RS05120	1039	5474.0	1039	0	0
VV1_RS07810	786	4159.0	789	3	0
VV1_RS05125	366	1913.0	368	2	0
VV1_RS13390	593	3110.0	595	2	0
VV1_RS03095	378	2012.0	382	4	0
VV1_RS03090	647	3393.0	650	3	0
VV1_RS14900	331	1741.0	331	0	0
VV1_RS14900	5	26.0	25	20	0
VV1_RS14365	203	1092.0	203	0	0
VV1_RS00730	402	2097.0	402	0	0
VV1_RS13205	365	1922.0	368	3	0
VV1_RS13480	208	1104.0	208	0	0
VV1_RS07160	348	1882.0	350	2	0
VV1_RS13705	331	1765.0	331	0	0
VV1_RS04970	263	1391.0	264	1	0
VV1_RS04180	251	1318.0	253	2	0
VV1_RS14515	234	1171.0	236	2	0
VV1_RS00630	565	3022.0	565	0	0
VV1_RS14120	332	1737.0	332	0	0
VV1_RS04975	212	1075.0	214	2	0
VV1_RS00635	283	1506.0	284	1	0
VV1_RS14510	318	1659.0	320	2	0
VV1_RS09410	403	2135.0	403	0	0
VV1_RS04020	288	1508.0	288	0	0
VV1_RS02250	232	1230.0	232	0	0
VV1_RS00180	540	2817.0	544	4	0
VV1_RS02255	272	1455.0	272	0	0
VV1_RS04025	321	1649.0	323	2	0
VV1_RS01955	453	2423.0	453	0	0
VV1_RS13265	250	1311.0	254	4	0
VV1_RS10110	349	1868.0	349	0	0
VV1_RS11155	271	1456.0	272	1	0
VV1_RS12615	419	2236.0	420	1	0
VV1_RS10665	506	2698.0	507	1	0
VV1_RS07435	423	2227.0	426	3	0
VV1_RS08895	229	1185.0	229	0	0
VV1_RS12295	272	1447.0	272	0	0
VV1_RS09500	328	1737.0	333	5	0
VV1_RS08890	282	1502.0	284	2	0
VV1_RS10460	318	1613.0	321	3	0
VV1_RS13215	312	1676.0	313	1	0
VV1_RS10465	309	1535.0	310	1	0
VV1_RS03105	609	3216.0	610	1	0
VV1_RS06675	575	3083.0	578	3	0
VV1_RS05950	447	2291.0	448	1	0
VV1_RS04890	245	1267.0	246	1	0
VV1_RS13635	473	2367.0	475	2	0
VV1_RS10825	576	3077.0	581	5	0
VV1_RS04895	258	1363.0	258	0	0
VV1_RS12845	458	2351.0	458	0	0
VV1_RS09855	259	1369.0	262	3	0
VV1_RS03385	451	2311.0	451	0	0
VV1_RS00985	298	1522.0	300	2	0
VV1_RS03475	208	1053.0	217	9	0
VV1_RS11290	244	1288.0	247	3	0
VV1_RS01510	362	1955.0	363	1	0
VV1_RS04980	479	2463.0	481	2	0
VV1_RS13430	305	1608.0	306	1	0
VV1_RS14420	408	2187.0	411	3	0
VV1_RS05340	403	2096.0	403	0	0
VV1_RS14425	302	1610.0	302	0	0
VV1_RS02555	444	2377.0	444	0	0
VV1_RS14050	217	1150.0	218	1	0
VV1_RS05310	293	1494.0	295	2	0
VV1_RS10770	420	2269.0	422	2	0
VV1_RS13385	318	1696.0	319	1	0
VV1_RS02415	326	1734.0	328	2	0
VV1_RS13620	308	1652.0	310	2	0
VV1_RS08095	300	1595.0	302	2	0
VV1_RS04115	226	1204.0	228	2	0
VV1_RS14110	612	3297.0	613	1	0
VV1_RS02410	355	1909.0	356	1	0
VV1_RS02410	4	25.0	6	2	0
VV1_RS04110	678	3629.0	679	1	0
VV1_RS08090	708	3706.0	708	0	0
VV1_RS07385	204	1059.0	206	2	0
VV1_RS07645	264	1335.0	264	0	0
VV1_RS01195	283	1498.0	283	0	0
VV1_RS08460	341	1774.0	343	2	0
VV1_RS07640	396	2051.0	396	0	0
VV1_RS01210	290	1539.0	291	1	0
VV1_RS12350	203	1071.0	206	3	0
VV1_RS03155	343	1850.0	348	5	0
VV1_RS08300	415	2200.0	416	1	0
VV1_RS02005	637	3308.0	637	0	0
VV1_RS10800	378	2023.0	380	2	0
VV1_RS02000	201	1059.0	203	2	0
VV1_RS05785	427	2237.0	429	2	0
VV1_RS12690	760	4049.0	762	2	0
VV1_RS08645	416	2236.0	416	0	0
VV1_RS05780	229	1210.0	230	1	0
VV1_RS10835	469	2454.0	471	2	0
VV1_RS06070	470	2377.0	471	1	0
VV1_RS15055	440	2349.0	440	0	0
VV1_RS07310	230	1213.0	230	0	0
VV1_RS05820	448	2382.0	448	0	0
VV1_RS10560	238	1259.0	238	0	0
VV1_RS08520	268	1433.0	269	1	0
VV1_RS08480	604	3236.0	607	3	0
VV1_RS10205	227	1188.0	227	0	0
VV1_RS03275	322	1718.0	322	0	0
VV1_RS04805	538	2881.0	539	1	0
VV1_RS10360	205	1092.0	210	5	0
VV1_RS03375	287	1527.0	287	0	0
VV1_RS13755	818	4442.0	820	2	0
VV1_RS10365	544	2839.0	546	2	0
VV1_RS01585	218	1150.0	218	0	0
VV1_RS13505	498	2673.0	502	4	0
VV1_RS04360	249	1265.0	249	0	0
VV1_RS14125	230	1216.0	232	2	0
VV1_RS00850	529	2742.0	530	1	0
VV1_RS03075	235	1245.0	238	3	0
VV1_RS09925	246	1276.0	246	0	0
VV1_RS04200	230	1224.0	233	3	0
VV1_RS07235	315	1684.0	317	2	0
VV1_RS09025	355	1804.0	356	1	0
VV1_RS13095	575	3017.0	578	3	0
VV1_RS13100	384	2044.0	386	2	0
VV1_RS10980	277	1450.0	279	2	0
VV1_RS09140	344	1819.0	344	0	0
VV1_RS06770	665	3584.0	665	0	0
VV1_RS12290	231	1177.0	232	1	0
VV1_RS09145	469	2478.0	471	2	0
VV1_RS02670	238	1263.0	238	0	0
