YJ016	Gene
VV1289	VV1_RS14190
VV1560	NAPH
VV2563	VV1_RS08760
VV0182	VV1_RS04360
VV0061	VV1_RS05250
VV1464	VV1_RS13350
VV2458	VV1_RS09270
VV2872	VV1_RS07220
VV2658	VV1_RS08285
VV1082	VV1_RS00205
VV3036	VV1_RS06335
VV2464	VV1_RS09240
VV1444	VV1_RS13435
VV0179	UBIB
VV3070	VV1_RS06165
VV1218	VV1_RS14550
VV0712	VV1_RS02360
VV2057	VV1_RS10770
VV2580	VV1_RS08655
VV2424	VV1_RS09435
VV2440	FADJ
VV0462	VV1_RS03290
VV1193	VV1_RS14665
VV2771	VV1_RS07735
VV1619	VV1_RS12735
VV2553	VV1_RS08810
VV1622	VV1_RS12720
VV2517	VV1_RS08970
VV3166	TUF
VV0790	VV1_RS01990
VV1274	VV1_RS14260
VV0614	MURG
VV2674	VV1_RS08195
VV0495	VV1_RS03140
VV0658	VV1_RS02610
VV2503	VV1_RS09045
VV1642	VV1_RS12620
VV0822	VV1_RS01760
VV2684	VV1_RS08150
VV3087	VV1_RS06045
VV0674	VV1_RS02535
VV0279	RPH
VV1240	VV1_RS14425
VV1180	VV1_RS14740
VV1647	VV1_RS12595
VV2559	VV1_RS08780
VV1410	VV1_RS13595
VV0243	VV1_RS04100
VV3076	VV1_RS06135
VV3121	VV1_RS05890
VV3082	VV1_RS06060
VV3235	VV1_RS04955
VV2310	VV1_RS10050
VV2474	VV1_RS09190
VV0092	VV1_RS05400
VV1189	VV1_RS14695
VV1698	VV1_RS12370
VV0670	VV1_RS02555
VV2030	VV1_RS10900
VV1018	VV1_RS00805
VV1119	VV1_RS15035
VV2696	VV1_RS08095
VV0428	VV1_RS03450
VV1341	VV1_RS13910
VV2381	VV1_RS09720
VV2081	VV1_RS10650
VV1315	VV1_RS14085
VV1687	POTC
VV1027	GLTA
VV1920	VV1_RS12160
VV3243	VV1_RS04915
VV3005	VV1_RS06490
VV2906	VV1_RS06985
VV1956	VV1_RS11245
VV2264	VV1_RS10265
VV1453	VV1_RS13395
VV2573	VV1_RS08685
VV1000	VV1_RS00885
VV0700	VV1_RS02415
VV0615	MURC
VV2142	VV1_RS10415
VV1265	VV1_RS14300
VV0715	VV1_RS02345
VV1370	VV1_RS13775
VV2737	VV1_RS07900
VV1593	VV1_RS12855
VV2898	VV1_RS07025
VV1951	VV1_RS11270
VV2329	VV1_RS09965
VV2446	VV1_RS09330
VV0043	VV1_RS05170
VV1151	ANSA
VV2798	VV1_RS07605
VV2541	DNAE
VV0966	VV1_RS01045
VV2884	VV1_RS07160
VV0588	VV1_RS02940
VV0054	VV1_RS05220
VV2677	VV1_RS08180
VV3187	VV1_RS04530
VV2045	VV1_RS10825
VV1425	VV1_RS13530
VV1237	VV1_RS14440
VV1481	VV1_RS13265
VV1243	VV1_RS14410
VV0905	VV1_RS01390
VV1538	VV1_RS12980
VV0938	VV1_RS01180
VV2361	VV1_RS09820
VV2670	VV1_RS08215
VV2302	VV1_RS10085
VV1512	VV1_RS13105
VV2829	RECO
VV2006	VV1_RS11005
VV1450	VV1_RS13405
VV0781	VV1_RS02020
VV0245	VV1_RS04090
VV2733	VV1_RS07920
VV2681	VV1_RS08160
VV3168	VV1_RS05660
VV1672	VV1_RS12490
VV0487	VV1_RS03170
VV1153	FADH
VV2585	VV1_RS08630
VV0398	VV1_RS03570
VV1428	VV1_RS13515
VV2380	VV1_RS09725
VV2551	VV1_RS08820
VV0113	VV1_RS05500
VV1085	VV1_RS00190
VV3037	VV1_RS06330
VV3000	VV1_RS06515
VV0771	VV1_RS02065
VV0911	LEUS
VV1327	VV1_RS13975
VV2990	VV1_RS06560
VV1002	VV1_RS00880
VV0571	CCA
VV2519	FADE
VV1092	VV1_RS00160
VV1032	VV1_RS00735
VV2822	RUMA
VV1702	VV1_RS12350
VV0591	VV1_RS02925
VV1168	VV1_RS14800
VV1947	VV1_RS11290
VV0238	VV1_RS04125
VV0456	VV1_RS03320
VV1128	VV1_RS14985
VV1025	VV1_RS00770
VV2571	VV1_RS08695
VV2999	VV1_RS06520
VV1300	RPSA
VV1013	VV1_RS00830
VV2055	VV1_RS10780
VV2929	VV1_RS06880
VV0129	VV1_RS05570
VV2830	VV1_RS07415
VV1170	VV1_RS14790
VV0705	VV1_RS02390
VV1656	RLML
VV3260	VV1_RS04830
VV2666	VV1_RS08245
VV0410	VV1_RS03520
VV2062	VV1_RS10750
VV0934	VV1_RS01200
VV1352	VV1_RS13865
VV2805	RECA
VV1503	VV1_RS13150
VV1318	CYSB
VV2959	VV1_RS06735
VV2806	VV1_RS07520
VV0741	VV1_RS02205
VV1708	VV1_RS12320
VV2561	VV1_RS08770
VV1285	VV1_RS14205
VV0411	VV1_RS03515
VV1700	VV1_RS12360
VV1745	VV1_RS11900
VV0027	VV1_RS04700
VV2303	VV1_RS10080
VV2035	VV1_RS10875
VV1084	VV1_RS00195
VV0485	VV1_RS03180
VV1473	VV1_RS13305
VV0218	VV1_RS04210
VV1440	VV1_RS13455
VV2873	VV1_RS07210
VV3049	VV1_RS06270
VV3020	VV1_RS06415
VV0916	VV1_RS01335
VV1637	VV1_RS12645
VV1480	VV1_RS13270
VV2070	VV1_RS10710
VV0200	VV1_RS04285
VV2392	RRMA
VV2293	VV1_RS10130
VV1246	VV1_RS14400
VV0090	VV1_RS05390
VV3068	VV1_RS06175
VV0640	GLTD
VV2783	VV1_RS07680
VV2724	VV1_RS07955
VV0776	GUAA
VV3054	VV1_RS06245
VV3053	VV1_RS06250
VV2789	VV1_RS07650
VV2418	VV1_RS09460
VV1053	VV1_RS00630
VV1970	PHET
VV1141	VV1_RS14925
VV2008	VV1_RS10995
VV1386	VV1_RS13710
VV1337	VV1_RS13930
VV3150	HEME
VV2286	VV1_RS10165
VV2832	VV1_RS07405
VV0691	VV1_RS02450
VV2774	PDHR
VV3158	VV1_RS05725
VV1156	VV1_RS14855
VV0088	VV1_RS05380
VV0202	VV1_RS04275
VV2450	VV1_RS09310
VV0665	XERD
VV1152	VV1_RS14875
VV2803	VV1_RS07540
VV2668	VV1_RS08225
VV0726	VV1_RS02275
VV0576	VV1_RS02995
VV0494	VV1_RS03145
VV2855	VV1_RS07300
VV0777	VV1_RS02035
VV0841	VV1_RS01675
VV2756	VV1_RS07810
VV2957	VV1_RS06745
VV2299	VV1_RS10100
VV1329	VV1_RS13965
VV0881	VV1_RS01510
VV0892	METN
VV0847	VV1_RS01655
VV2146	VV1_RS10405
VV0415	VV1_RS03495
VV1683	VV1_RS12435
VV0879	VV1_RS01520
VV1009	VV1_RS00850
VV1296	VV1_RS14165
VV3177	FRE
VV2831	RNC
VV1686	POTB
VV1206	OPPD
VV0942	VV1_RS01155
VV0929	VV1_RS01225
VV2061	VV1_RS10755
VV2409	RECR
VV1494	VV1_RS13205
VV2292	VV1_RS10135
VV0186	VV1_RS04345
VV3002	VV1_RS06505
VV0598	VV1_RS02890
VV1408	VV1_RS13600
VV2679	VV1_RS08170
VV2183	VV1_RS10365
VV0900	VV1_RS01415
VV3245	VV1_RS04905
VV3090	VV1_RS06035
VV0193	VV1_RS04315
VV1173	VV1_RS14775
VV3016	HSLU
VV0225	VV1_RS04175
VV1072	VV1_RS00255
VV0009	VV1_RS04780
VV1283	VV1_RS14215
VV2101	VV1_RS10560
VV0702	TYRA
VV0050	VV1_RS05200
VV2063	VV1_RS10745
VV1445	VV1_RS13430
VV1125	VV1_RS15005
VV0974	VV1_RS09105
VV3088	CYSE
VV1541	VV1_RS12965
VV0044	VV1_RS05175
VV2763	VV1_RS07775
VV1462	VV1_RS13360
VV2547	VV1_RS08840
VV3219	VV1_RS05025
VV0453	VV1_RS03335
VV2572	VV1_RS08690
VV0280	PYRE
VV1713	VV1_RS12295
VV3244	VV1_RS04910
VV2351	VV1_RS09860
VV2966	VV1_RS06675
VV1468	VV1_RS13330
VV2766	VV1_RS07760
VV1238	VV1_RS14435
VV1435	VV1_RS13480
VV1059	VV1_RS00600
VV1278	VV1_RS14240
VV3142	PURH
VV1525	VV1_RS13045
VV1455	VV1_RS13385
VV3185	VV1_RS04520
VV2479	VV1_RS09165
VV1954	VV1_RS11255
VV2927	TLDD
VV0852	VV1_RS01630
VV1094	VV1_RS00150
VV2728	VV1_RS07935
VV2346	VV1_RS09880
VV3118	ASPA
VV0174	VV1_RS04400
VV1324	VV1_RS13990
VV0126	VV1_RS05555
VV0629	VV1_RS02745
VV2821	RELA
VV3057	VV1_RS06230
VV1558	VV1_RS12880
VV1267	VV1_RS14290
VV0625	CARB
VV2790	VV1_RS07645
VV1145	VV1_RS14910
VV0652	VV1_RS02640
VV2273	VV1_RS10230
VV1497	VV1_RS13190
VV2375	VV1_RS09750
VV2866	VV1_RS07250
VV1639	VV1_RS12635
VV2967	CYSJ
VV1418	VV1_RS13560
VV2986	VV1_RS06580
VV0038	VV1_RS05125
VV1545	VV1_RS12945
VV0062	VV1_RS05255
VV0709	PHEA
VV3052	ASTD
VV2528	VV1_RS08925
VV1181	VV1_RS14735
VV2863	VV1_RS07265
VV1136	VV1_RS14950
VV1260	VV1_RS14325
VV2557	VV1_RS08790
VV1205	VV1_RS14610
VV1297	VV1_RS14160
VV0484	LEUD
VV0086	VV1_RS05370
VV0935	VV1_RS01195
VV0178	VV1_RS04380
VV1984	VV1_RS11115
VV0215	VV1_RS04225
VV1167	VV1_RS14805
VV2368	VV1_RS09785
VV0733	VV1_RS02240
VV1093	VV1_RS00155
VV0969	FLGK
VV2746	VV1_RS07855
VV2305	VV1_RS10070
VV0458	VV1_RS03310
VV1216	VV1_RS14560
VV2749	VV1_RS07835
VV3247	VV1_RS04890
VV0327	VV1_RS03840
VV0222	VV1_RS04190
VV2136	VV1_RS10435
VV2083	VV1_RS10640
VV0762	VV1_RS02110
VV1682	VV1_RS12440
VV0207	VV1_RS04250
VV0968	VV1_RS01035
VV2139	VV1_RS10425
VV0413	VV1_RS03505
VV0570	VV1_RS03020
VV1096	VV1_RS00140
VV2086	VV1_RS10625
VV2743	VV1_RS07870
VV0003	VV1_RS04805
VV2680	VV1_RS08165
VV2961	VV1_RS06725
VV2660	VV1_RS08275
VV1519	VV1_RS13070
VV0221	VV1_RS04195
VV2300	VV1_RS10095
VV2649	VV1_RS08325
VV0632	VV1_RS02735
VV2896	VV1_RS07035
VV1451	VV1_RS13400
VV1282	VV1_RS14220
VV1964	VV1_RS11205
VV0507	VV1_RS03085
VV0278	VV1_RS04020
VV3138	VV1_RS05810
VV1990	VV1_RS11070
VV2342	VV1_RS09900
VV1685	POTA
VV1777	VV1_RS11675
VV0488	VV1_RS03165
VV2500	VV1_RS09060
VV2540	VV1_RS08870
VV0692	VV1_RS02445
VV2484	VV1_RS09140
VV2501	VV1_RS09055
VV2373	VV1_RS09760
VV1067	FABG
VV0059	VV1_RS05240
VV0722	VV1_RS02295
VV1999	VV1_RS11030
VV2121	VV1_RS10505
VV1690	POTD
VV2773	ACEE
VV2378	ZNTA
VV3065	VV1_RS06190
VV1187	VV1_RS14705
VV2435	VV1_RS09380
VV3252	VV1_RS04870
VV2068	VV1_RS10720
VV2022	VV1_RS10935
VV2582	VV1_RS08645
VV3151	VV1_RS05745
VV0669	LYSS
VV2864	VV1_RS07260
VV3132	VV1_RS05840
VV3196	VV1_RS04565
VV1419	VV1_RS13555
VV2820	MAZG
VV1026	VV1_RS00765
VV1561	VV1_RS12865
VV0895	VV1_RS01440
VV2652	VV1_RS08310
VV3259	VV1_RS04835
VV1958	VV1_RS11235
VV2404	VV1_RS09515
VV3106	GROEL
VV0293	VV1_RS03950
VV2690	VV1_RS08120
VV2581	VV1_RS08650
VV0612	MURD
VV0894	TRER
VV1309	VV1_RS14110
VV0445	VV1_RS03375
VV0013	RECF
VV0436	VV1_RS03415
VV2059	VV1_RS10765
VV0685	VV1_RS02480
VV1953	VV1_RS11260
VV1658	VV1_RS12555
VV0753	VV1_RS02155
VV2760	VV1_RS07790
VV0903	VV1_RS01400
VV0728	VV1_RS02265
VV0713	RLUD
VV1706	VV1_RS12330
VV2084	VV1_RS10635
VV2734	VV1_RS07915
VV3223	VV1_RS05010
VV0241	VV1_RS04110
VV2031	VV1_RS10895
VV2772	ACEF
VV0040	VV1_RS05135
VV0725	VV1_RS02280
VV2466	VV1_RS09230
VV2889	VV1_RS07090
VV0616	VV1_RS02800
VV0988	VV1_RS00945
VV1020	VV1_RS00795
VV2447	VV1_RS09325
VV2962	VV1_RS06720
VV0959	VV1_RS01080
VV0872	MOTB
VV1066	VV1_RS00285
VV0012	VV1_RS04770
VV0435	VV1_RS03420
VV0240	VV1_RS04115
VV1122	VV1_RS15020
VV2910	VV1_RS06970
VV2313	GLGC
VV1442	VV1_RS13445
VV1615	VV1_RS12750
VV2543	VV1_RS08860
VV1387	VV1_RS13705
VV0635	VV1_RS02720
VV0611	MRAY
VV0493	LEUO
VV2875	VV1_RS07205
VV0742	VV1_RS02200
VV1726	VV1_RS12230
VV2627	VV1_RS08435
VV2854	VV1_RS07305
VV0249	VV1_RS04070
VV0220	VV1_RS04200
VV0696	VV1_RS02425
VV1669	VV1_RS12505
VV2133	VV1_RS10450
VV1712	VV1_RS12300
VV3183	VV1_RS04510
VV1478	VV1_RS13280
VV2972	VV1_RS06650
VV2326	VV1_RS09980
VV1209	VV1_RS14595
VV3017	VV1_RS06430
VV2129	VV1_RS10470
VV2105	VV1_RS10540
VV1057	MINC
VV2781	VV1_RS07690
VV0102	VV1_RS05450
VV2454	VV1_RS09290
VV3097	VV1_RS06005
VV1973	VV1_RS11160
VV1388	VV1_RS13700
VV0863	VV1_RS01580
VV2322	CLPA
VV0618	VV1_RS02790
VV0399	VV1_RS03565
VV2700	VV1_RS08070
VV2902	VV1_RS07005
VV1485	VV1_RS13245
VV1307	VV1_RS14115
VV2846	VV1_RS07340
VV0759	HSCA
VV0964	VV1_RS01055
VV1106	VV1_RS00095
VV1681	VV1_RS12445
VV3080	VV1_RS06070
VV1103	VV1_RS00110
VV2407	VV1_RS09500
VV2978	ALR
VV0782	VV1_RS02010
VV2481	VV1_RS09155
VV0492	VV1_RS03155
VV1330	BIOD
VV1542	VV1_RS12960
VV1175	VV1_RS14765
VV2308	VV1_RS10060
VV0967	VV1_RS01040
VV0481	VV1_RS03200
VV1069	VV1_RS00270
VV0080	VV1_RS05345
VV1247	VV1_RS14390
VV1959	VV1_RS11230
VV0441	VV1_RS03390
VV0236	OMPR
VV2813	VV1_RS07495
VV2355	LPXK
VV0251	VV1_RS04060
VV3146	VV1_RS05770
VV0850	VV1_RS01640
VV2005	VV1_RS11010
VV0774	VV1_RS02050
VV2645	VV1_RS08345
VV0309	VV1_RS03915
VV2742	VV1_RS07875
VV1654	VV1_RS12575
VV2075	VV1_RS10685
VV0115	VV1_RS05510
VV3030	FUSA
VV0034	VV1_RS05105
VV1377	VV1_RS13745
VV2590	VV1_RS08605
VV0381	VV1_RS03660
VV0509	VV1_RS03075
VV2527	VV1_RS08930
VV3227	VV1_RS04990
VV1295	VV1_RS14170
VV2333	VV1_RS09945
VV0095	VV1_RS05415
VV0213	VV1_RS04235
VV2839	VV1_RS07375
VV1678	VV1_RS12460
VV3184	VV1_RS04515
VV2736	VV1_RS07905
VV0597	VV1_RS02895
VV2676	DEOD
VV2184	VV1_RS10360
VV1607	VV1_RS12780
VV1957	VV1_RS11240
VV0081	HEMC
VV2270	VV1_RS10240
VV1430	VV1_RS13505
VV1620	VV1_RS12730
VV0677	VV1_RS02520
VV2126	VV1_RS10485
VV2076	VV1_RS10680
VV2725	VV1_RS07950
VV2933	VV1_RS06860
VV1429	VV1_RS13510
VV1061	VV1_RS00590
VV0842	VV1_RS01670
VV0672	VV1_RS02545
VV1031	SDHB
VV2671	VV1_RS08210
VV2753	VV1_RS07820
VV2118	VV1_RS14075
VV1950	VV1_RS11275
VV0783	VV1_RS02005
VV2987	VV1_RS06575
VV3201	VV1_RS04590
VV0745	VV1_RS02185
VV3003	VV1_RS06500
VV0581	VV1_RS02975
VV0469	VV1_RS03260
VV1100	VV1_RS00120
VV2017	VV1_RS10955
VV3148	VV1_RS05760
VV2791	VV1_RS07640
VV1605	VV1_RS12790
VV2109	VV1_RS10520
VV1965	VV1_RS11200
VV2370	VV1_RS09775
VV1692	VV1_RS12395
VV2795	VV1_RS07620
VV0917	VV1_RS01330
VV1290	VV1_RS14185
VV1492	VV1_RS13215
VV0749	VV1_RS02165
VV1171	VV1_RS14785
VV2955	VV1_RS06755
VV1417	VV1_RS13565
VV0679	VV1_RS02510
VV2377	VV1_RS09740
VV2453	VV1_RS09295
VV0690	ISPH
VV2857	VV1_RS07290
VV2919	VV1_RS06930
VV1381	VV1_RS13725
VV2545	VV1_RS08850
VV1501	VV1_RS13170
VV0195	VV1_RS04310
VV1514	VV1_RS13095
VV1643	VV1_RS12615
VV1114	VV1_RS15060
VV2284	RUVB
VV1226	VV1_RS14515
VV0846	VV1_RS01660
VV1597	VV1_RS12835
VV1343	MNMA
VV0913	LNT
VV1098	VV1_RS00130
VV2915	VV1_RS06945
VV2768	VV1_RS07750
VV1258	VV1_RS14335
VV1399	VV1_RS13645
VV2320	VV1_RS10010
VV3248	VV1_RS04895
VV0613	VV1_RS02815
VV1204	OPPB
VV1630	VV1_RS12680
VV0931	PRFA
VV0121	UBIA
VV2918	VV1_RS06935
VV0230	VV1_RS04155
VV2969	VV1_RS06660
VV3133	VV1_RS05835
VV0026	VV1_RS04705
VV0461	VV1_RS03295
VV3001	VV1_RS06510
VV1535	VV1_RS12990
VV2556	TSF
VV0767	VV1_RS02085
VV3159	RPOB
VV2911	VV1_RS06965
VV0476	VV1_RS03225
VV1405	VV1_RS13615
VV1641	YEBU
VV2934	VV1_RS06855
VV0167	VV1_RS05580
VV0873	VV1_RS01530
VV2858	VV1_RS07285
VV2318	VV1_RS10025
VV2879	VV1_RS07185
VV1401	VV1_RS13635
VV2096	VV1_RS10575
VV2826	VV1_RS07435
VV2644	VV1_RS08350
VV1969	VV1_RS11180
VV0830	VV1_RS01730
VV2036	VV1_RS10870
VV2578	VV1_RS08665
VV2740	VV1_RS07885
VV1549	VV1_RS12925
VV0619	LPXC
VV1555	VV1_RS12895
VV0285	VV1_RS03985
VV1484	VV1_RS13250
VV0680	VV1_RS02505
VV0325	VV1_RS03850
VV1540	VV1_RS12970
VV1411	VV1_RS13590
VV2654	VV1_RS08300
VV2011	VV1_RS10980
VV2304	VV1_RS10075
VV2174	VV1_RS10370
VV0957	VV1_RS01090
VV1041	VV1_RS00690
VV0078	VV1_RS05335
VV1280	VV1_RS14230
VV2958	VV1_RS06740
VV3114	CPXA
VV0409	CPDB
VV3234	VV1_RS04960
VV0244	VV1_RS04095
VV2514	UPP
VV2056	VV1_RS10775
VV2897	VV1_RS07030
VV2365	VV1_RS09800
VV0205	VV1_RS04260
VV0002	TRME
VV1427	VV1_RS13520
VV0577	VV1_RS02990
VV0890	METQ
VV2427	VV1_RS09420
VV0188	VV1_RS04335
VV2480	VV1_RS09160
VV1183	VV1_RS14725
VV0785	VV1_RS02000
VV1948	VV1_RS11285
VV0884	VV1_RS01495
VV0455	VV1_RS03325
VV1392	VV1_RS13680
VV2568	VV1_RS08705
VV0885	VV1_RS01490
VV1354	VV1_RS13855
VV2945	VV1_RS06800
VV3077	VV1_RS06080
VV3010	VV1_RS06465
VV0122	VV1_RS05540
VV1186	VV1_RS14710
VV2341	VV1_RS09905
VV0723	VV1_RS02290
VV3064	VV1_RS06195
VV2526	VV1_RS08935
VV0289	VV1_RS03965
VV1195	VV1_RS14660
VV1021	VV1_RS00790
VV1259	METG
VV0866	VV1_RS01565
VV2110	VV1_RS14085
VV2290	VV1_RS10145
VV0582	VV1_RS02970
VV1644	VV1_RS12610
VV1115	VV1_RS15055
VV0854	VV1_RS01625
VV1325	VV1_RS13985
VV0770	VV1_RS02070
VV1391	VV1_RS13685
VV0502	VV1_RS03105
VV2956	VV1_RS06750
VV0621	SECA
VV3130	VV1_RS05850
VV0406	VV1_RS03540
VV2147	VV1_RS10400
VV2523	VV1_RS08940
VV2040	VV1_RS10850
VV0077	VV1_RS05330
VV0118	VV1_RS05520
VV0224	VV1_RS04180
VV2617	VV1_RS08475
VV0798	VV1_RS01955
VV2010	VV1_RS10985
VV2770	VV1_RS07740
VV1513	VV1_RS13100
VV2882	VV1_RS07170
VV1224	VV1_RS14520
VV2327	VV1_RS09975
VV1034	SUCC
VV1030	SDHA
VV0593	VV1_RS02915
VV1554	VV1_RS12900
VV1389	VV1_RS13695
VV2726	VV1_RS07945
VV0341	VV1_RS03775
VV1674	VV1_RS12480
VV0006	VV1_RS04790
VV2312	VV1_RS10045
VV2819	PYRG
VV1046	VV1_RS00665
VV1320	VV1_RS14010
VV0992	VV1_RS00925
VV3021	VV1_RS06410
VV1233	SIRA
VV3093	VV1_RS06020
VV1230	VV1_RS14495
VV0508	VV1_RS03080
VV2650	VV1_RS08320
VV2143	VV1_RS10410
VV1632	VV1_RS12670
VV3207	VV1_RS04620
VV1236	VV1_RS14445
VV2723	VV1_RS07960
VV2116	VV1_RS14065
VV2994	VV1_RS06540
VV0889	VV1_RS01470
VV1436	VV1_RS13475
VV1234	UVRC
VV0123	VV1_RS05545
VV0666	VV1_RS02575
VV2786	TRMD
VV3231	VV1_RS04970
VV2555	VV1_RS08800
VV2065	VV1_RS10735
VV0660	VV1_RS02600
VV1139	VV1_RS14935
VV1986	VV1_RS11105
VV0963	VV1_RS01060
VV0011	DNAA
VV1598	VV1_RS12830
VV3224	VV1_RS05005
VV2715	HFLB
VV2721	VV1_RS07970
VV0442	VV1_RS03385
VV0096	VV1_RS05420
VV2494	VV1_RS09095
VV3251	VV1_RS04875
VV2793	VV1_RS07630
VV3194	VV1_RS04560
VV0737	VV1_RS02225
VV2098	VV1_RS10570
VV0859	VV1_RS01600
VV1342	VV1_RS13905
VV1065	VV1_RS00575
VV2744	VV1_RS07865
VV2095	VV1_RS10580
VV2444	VV1_RS09340
VV2946	VV1_RS06795
VV0676	VV1_RS02525
VV0711	VV1_RS14085
VV0824	PPNK
VV1390	VV1_RS13690
VV1097	VV1_RS00135
VV1005	VV1_RS00865
VV0891	VV1_RS01460
VV0991	VV1_RS00930
VV3172	PSSA
VV2115	VV1_RS14060
VV1304	VV1_RS14125
VV2625	VV1_RS08445
VV2949	VV1_RS06780
VV1157	VV1_RS14850
VV2618	VV1_RS08470
VV0021	VV1_RS04730
VV1044	VV1_RS00675
VV0087	DAPF
VV2995	VV1_RS06535
VV0465	VV1_RS03275
VV1441	VV1_RS13450
VV2952	VV1_RS06770
VV2985	VV1_RS06585
VV0254	VV1_RS04045
VV0793	VV1_RS01975
VV0896	VV1_RS01435
VV0630	VV1_RS02740
VV1599	VV1_RS12825
VV1495	VV1_RS13200
VV0434	VV1_RS03425
VV1402	VV1_RS13630
VV0216	VV1_RS04220
VV2352	VV1_RS09855
VV3013	VV1_RS06450
VV0203	VV1_RS04270
VV3253	VV1_RS04865
VV0014	GYRB
VV0724	VV1_RS02285
VV2325	VV1_RS09985
VV0610	MURF
VV3228	TRKA
VV0878	VV1_RS01525
VV0253	VV1_RS04050
VV2888	VV1_RS07095
VV2489	FLID
VV2113	VV1_RS14050
VV0066	VV1_RS05280
VV2587	VV1_RS08620
VV1725	VV1_RS12235
VV2544	LPXB
VV2439	VV1_RS09365
VV1509	VV1_RS13120
VV1064	VV1_RS00580
VV1223	VV1_RS14525
VV2294	VV1_RS10125
VV0375	VV1_RS03690
VV0079	VV1_RS05340
VV3205	VV1_RS04610
VV1459	VV1_RS13370
VV2434	VV1_RS09385
VV2648	VV1_RS08330
VV3061	VV1_RS06210
VV2588	VV1_RS08615
VV3047	VV1_RS06280
VV0659	VV1_RS02605
VV2812	VV1_RS07500
VV0644	VV1_RS02680
VV2745	VV1_RS07860
VV1454	VV1_RS13390
VV0883	VV1_RS01500
VV1403	VV1_RS13625
VV0755	VV1_RS02145
VV0909	HOLA
VV1203	VV1_RS14620
VV2173	VV1_RS10375
VV2764	PANC
VV0501	VV1_RS03110
VV3059	VV1_RS06220
VV0617	FTSA
VV2780	VV1_RS07695
VV2461	VV1_RS09255
VV2330	VV1_RS09960
VV1472	VV1_RS13310
VV1522	VV1_RS13055
VV1719	VV1_RS12265
VV2550	VV1_RS08825
VV0284	VV1_RS03990
VV3169	VV1_RS05655
VV1118	VV1_RS15040
VV1463	VV1_RS13355
VV1689	POTD
VV0418	VV1_RS03485
VV2928	VV1_RS06885
VV2459	VV1_RS09265
VV0098	VV1_RS05430
VV2836	VV1_RS07390
VV0981	VV1_RS00975
VV3058	VV1_RS06225
VV1536	VV1_RS12985
VV2975	PGI
VV2462	VV1_RS09250
VV0928	VV1_RS01230
VV1466	VV1_RS13340
VV2272	VV1_RS10235
VV1600	VV1_RS12820
VV0701	VV1_RS02410
VV2833	VV1_RS07400
VV1595	VV1_RS12845
VV1668	VV1_RS12510
VV3096	VV1_RS06010
VV1033	VV1_RS00730
VV1963	VV1_RS11210
VV3200	VV1_RS04580
