Gene	K12
rnc	rnc
btuC	btuC
yjbH	yjbH
rplC	rplC
nadE	nadE
nagK	ycfX
metI	metI
yeaD	yeaD
yaaJ	yaaJ
aspS	aspS
prmB	prmB
mtn	pfs
ybhR	ybhR
queF	queF
fhuC	fhuC
yihQ	yihQ
livJ	livJ
ggt	ggt
murR	yfeT
ybdR	ybdR
ybbY	ybbY
ebgR	ebgR
ydeP	ydeP
flk	flk
dinG	dinG
pncB	pncB
mltB	mltB
dusC	dusC
rihA	rihA
agaI	agaI
uhpB	uhpB
hybC	hybC
rutA	rutA
ispA	ispA
pfkA	pfkA
mhpE	mhpE
rbsC	rbsC
hisM	hisM
dinB	dinB
mntH	mntH
gor	gor
yjiM	yjiM
yqjA	yqjA
pflD	pflD
ykgF	ykgF
setC	setC
bioB	bioB
abgA	abgA
potC	potC
mukE	mukE
dnaJ	dnaJ
ydhJ	ydhJ
rlmC	rumB
fklB	fklB
garP	garP
fdhE	fdhE
ydhX	ydhX
yqjG	yqjG
gcl	gcl
hflC	hflC
ybfF	ybfF
yheT	yheT
ecpC	yagX
yaaA	yaaA
ftsW	ftsW
galE	galE
eutG	eutG
yaiP	yaiP
tyrS	tyrS
ruvA	ruvA
yiaJ	yiaJ
ligB	ligB
yihW	yihW
holA	holA
prlC	prlC
ybhC	ybhC
yfiH	yfiH
ycgG	ycgG
ada	ada
scpC	ygfH
glmM	glmM
yehT	yehT
allD	allD
ybhN	ybhN
prpB	prpB
mnmA	trmU
yqeI	yqeI
ybhD	ybhD
yohK	yohK
dld	dld
nth	nth
rarA	ycaJ
aroA	aroA
rbsB	rbsB
cof	cof
yjcC	yjcC
btuF	btuF
csiR	csiR
yfcA	yfcA
leuB	leuB
thiQ	thiQ
cobS	cobS
pgpB	pgpB
yidP	yidP
truD	truD
ydjL	ydjL
ybdH	ybdH
modE	modE
dtpB	yhiP
dhaK	dhaK
potA	potA
wcaN	galF
manX	manX
yjjQ	yjjQ
livK	livK
menE	menE
sppA	sppA
argK	argK
aat	aat
gatY	gatY
narP	narP
tsgA	tsgA
cytR	cytR
ecpD	yagW
lon	lon
paaC	paaC
fsaB	fsaB
araH	araH
ygbJ	ygbJ
nagE	nagE
mutM	mutM
mtr	mtr
wecA	rfe
hisS	hisS
trmJ	yfhQ
coaE	coaE
rplB	rplB
yahI	yahI
argC	argC
hisQ	hisQ
thrA	thrA
radA	radA
dauA	ychM
yehY	yehY
yggM	yggM
ynfL	ynfL
ybhA	ybhA
fruB	fruB
ribB	ribB
fdnG	fdnG
pqiA	pqiA
serA	serA
frlD	frlD
rlmM	ygdE
wcaA	wcaA
hycB	hycB
exbB	exbB
lysS	lysS
narG	narG
hypD	hypD
glpB	glpB
yfhG	yfhG
nlpA	nlpA
pabC	pabC
copA	copA
ycaO	ycaO
eutR	yfeG
basS	basS
gss	gss
pgi	pgi
yahB	yahB
lpoB	ycfM
yhjE	yhjE
yifK	yifK
bglG	bglG
ydcO	ydcO
yceG	yceG
cbdB	appB
insF1	insF
lsrF	lsrF
ytjB	ytjB
acrR	acrR
yihM	yihM
dacC	dacC
fryA	ypdD
cbpA	cbpA
rsmG	gidB
dnaE	dnaE
ruvB	ruvB
pstS	pstS
tqsA	ydgG
amiA	amiA
ubiG	ubiG
scpA	yliK
ychO	ychP
preA	yeiA
narZ	narZ
pheP	pheP
dkgA	dkgA
yeiL	yeiL
ycaL	ycaL
ypdB	ypdB
rhlE	rhlE
hemD	hemD
adeP	yieG
rlmE	rrmJ
ylbE	ylbE
adeD	ade
ytfF	ytfF
ybjL	ybjL
wecF	rffT
envY	envY
ung	ung
ydjX	ydjX
aes	aes
hcr	hcr
yneF	yneF
asnS	asnS
eutC	eutC
nuoC	nuoC
viaA	yieM
metG	metG
fucA	fucA
upp	upp
artM	artM
fruK	fruK
livM	livM
ycjU	ycjU
ygeR	ygeR
elyC	ycbC
rpiA	rpiA
narU	narU
htpG	htpG
lolD	lolD
sodA	sodA
nrfC	nrfC
dtpC	yjdL
kdpD	kdpD
fetB	ybbM
mdtO	yjcQ
speE	speE
opgE	ybiP
yheS	yheS
caiT	caiT
hybB	hybB
ppk	ppk
yafC	yafC
apbE	yojL
yeaV	yeaV
valS	valS
yehA	yehA
phnD	phnD
poxB	poxB
dhaR	dhaR
hofQ	hofQ
yedP	yedP
cmoB	yecP
paaX	paaX
murI	murI
crp	crp
ychA	ychA
pck	pck
yfdV	yfdV
glpA	glpA
cra	fruR
dnaX	dnaX
yghT	yghT
tdcG	tdcG
tdcD	tdcD
caiA	caiA
pcm	pcm
ulaA	ulaA
modA	modA
yfiE	yfiE
folE	folE
paoA	yagT
mrp	mrp
lgoD	yjjN
ampG	ampG
ldhA	ldhA
lgt	lgt
glpF	glpF
bioD	bioD
phoU	phoU
yoaE	yoaE
yobB	yobB
udk	udk
murQ	yfeU
mdtL	mdtL
glgB	glgB
artJ	artJ
rutB	rutB
modC	modC
nfsB	nfnB
yhaJ	yhaJ
tyrR	tyrR
gshB	gshB
pntB	pntB
yecS	yecS
rodZ	yfgA
chbC	chbC
cmk	cmk
ychF	ychF
yciO	yciO
yadD	yadD
yciK	yciK
ydjF	ydjF
dppD	dppD
gfcB	ymcC
rbn	elaC
paaH	paaH
ndh	ndh
ybiO	ybiO
codA	codA
motA	motA
coaA	coaA
rlmL	ycbY
rspR	ydfH
atpB	atpB
thiH	thiH
gfcD	ymcA
dhaL	dhaL
yliF	yliF
wecG	rffM
tolC	tolC
cobC	phpB
ydhB	ydhB
yfeR	yfeR
yedQ	yedQ
argH	argH
hyfE	hyfE
paaA	paaA
actP	actP
yafS	yafS
qorA	qor
uvrC	uvrC
lsrD	lsrD
yfaP	yfaP
zwf	zwf
glmU	glmU
metR	metR
yedA	yedA
csgD	csgD
bioH	bioH
rhlB	rhlB
asd	asd
galU	galU
phnK	phnK
fucR	fucR
pstA	pstA
rtn	rtn
mhpD	mhpD
tyrA	tyrA
tsr	tsr
yfgF	yfgF
glrR	yfhA
yaiC	yaiC
gabP	gabP
pncA	pncA
rplA	rplA
argG	argG
mnmH	ybbB
opgB	mdoB
ccmF	ccmF
yehC	yehC
metL	metL
astA	astA
icd	icd
yphD	yphD
mdtN	yjcR
nikB	nikB
yeaW	yeaW
mltC	mltC
fdhF	fdhF
srlQ	gutQ
uxaC	uxaC
ygiQ	ygiQ
tonB	tonB
sxy	yccR
mhpC	mhpC
zapE	yhcM
entB	entB
gstB	yliJ
narJ	narJ
shiA	shiA
bdcA	yjgI
acs	acs
frwC	frwC
glcF	glcF
yejK	yejK
yieK	yieK
yfcG	yfcG
ydiM	ydiM
gadB	gadB
galT	galT
pheT	pheT
infB	infB
araJ	araJ
mltD	mltD
ylaB	ylaB
ytfB	ytfB
emrA	emrA
ydeQ	ydeQ
ygaZ	ygaZ
ygcQ	ygcQ
yceA	yceA
cyaA	cyaA
narW	narW
ygbL	ygbL
ygcU	ygcU
aphA	aphA
fimH	fimH
potB	potB
allB	allB
yneE	yneE
galS	galS
mak	mak
ycjX	ycjX
srlD	srlD
mdtH	mdtH
clcB	clcB
ybiH	ybiH
xylE	xylE
topA	topA
nagB	nagB
dnaG	dnaG
chaA	chaA
yjiH	yjiH
emtA	emtA
dctA	dctA
fabR	fabR
motB	motB
yadG	yadG
yidA	yidA
murC	murC
livF	livF
zitB	zitB
ybcF	ybcF
yjfF	yjfF
gudP	gudP
ompG	ompG
yeiR	yeiR
mutY	mutY
astC	astC
narH	narH
zraR	zraR
csdA	csdA
adhP	adhP
mutH	mutH
rstB	rstB
mltA	mltA
yahJ	yahJ
nadC	nadC
yraR	yraR
prfC	prfC
yhdJ	yhdJ
ssnA	ssnA
dgt	dgt
adhE	adhE
gntT	gntT
nfsA	nfsA
rsmH	mraW
bcsB	bcsB
entS	ybdA
lpxB	lpxB
yeaJ	yeaJ
cysE	cysE
ybhL	ybhL
yqhD	yqhD
ydjK	ydjK
otsB	otsB
dosP	dos
nac	nac
dsdA	dsdA
xdhD	xdhD
ygbN	ygbN
mtgA	mtgA
yfeH	yfeH
proB	proB
ydcT	ydcT
ybhJ	ybhJ
pheS	pheS
tolB	tolB
dnaQ	dnaQ
basR	basR
glnA	glnA
dppF	dppF
cysG	cysG
guaD	guaD
paaJ	paaE
yjcZ	yjcZ
yhbE	yhbE
lgoT	yjiZ
flhA	flhA
oxc	oxc
melB	melB
betT	betT
yhhN	yhhN
kbl	kbl
yhhZ	yhhZ
gph	gph
ydhP	ydhP
fliA	fliA
glyS	glyS
yphF	yphF
ypdC	ypdC
fkpA	fkpA
lpxA	lpxA
ygbI	ygbI
fabD	fabD
map	map
tauD	tauD
rsmE	yggJ
fabI	fabI
fiu	fiu
opgD	mdoD
hda	hda
yjbM	yjbM
yjcO	yjcO
pbpG	pbpG
phoR	phoR
tcdA	ygdL
ddpD	ddpD
ybiY	ybiY
nanA	nanA
lpxT	yeiU
ygcR	ygcR
yibH	yibH
gmd	gmd
aer	aer
flgA	flgA
hemF	hemF
ysgA	ysgA
trkA	trkA
yqhG	yqhG
rnt	rnt
ycgM	ycgM
cusA	cusA
recR	recR
dmsB	dmsB
nadK	yfjB
yidL	yidL
yigM	yigM
yigB	yigB
zipA	zipA
cusR	cusR
yegW	yegW
yghU	yghU
uxaB	uxaB
nuoN	nuoN
rnd	rnd
prs	prsA
fepD	fepD
hisB	hisB
mgtA	mgtA
rbbA	rbbA
gadX	gadX
yebB	yebB
dbpA	dbpA
smf	smf
mglB	mglB
fre	fre
ybaL	ybaL
cvrA	cvrA
pspF	pspF
accC	accC
ydeO	ydeO
trg	trg
queE	ygcF
fixB	fixB
ftsH	ftsH
yiaF	yiaF
ycjF	ycjF
kdsA	kdsA
trxB	trxB
rhtA	rhtA
sbcD	sbcD
selD	selD
tktB	tktB
wcaE	wcaE
secY	secY
rspA	rspA
ubiJ	yigP
hyi	hyi
hyaB	hyaB
ydgJ	ydgJ
hmp	hmp
cydA	cydA
mlc	dgsA
argS	argS
ynaI	ynaI
allE	ylbA
glgX	glgX
purR	purR
rihB	rihB
lsrR	lsrR
yeaG	yeaG
hisJ	hisJ
uxaA	uxaA
yabI	yabI
dedD	dedD
yigA	yigA
codB	codB
nanC	yjhA
prpR	prpR
truB	truB
quuQ	ydfT
yccA	yccA
ybjX	ybjX
ccmC	ccmC
lolA	lolA
glgA	glgA
ybdL	ybdL
yeeZ	yeeZ
yccS	yccS
yfcH	yfcH
uvrB	uvrB
yqfA	yqfA
elbB	elbB
ptsP	ptsP
nudF	nudF
fliY	fliY
exuT	exuT
tolA	tolA
hofC	hofC
xdhB	xdhB
garL	garL
nrdB	nrdB
sseA	sseA
degP	degP
ykgG	ykgG
pbpC	pbpC
dmsC	dmsC
eutJ	eutJ
artQ	artQ
wecH	yiaH
nikA	nikA
gltP	gltP
folC	folC
hscC	hscC
bacA	bacA
nuoF	nuoF
purC	purC
alaA	yfbQ
cdaR	cdaR
citB	citB
aaeB	aaeB
glgP	glgP
yqeF	yqeF
yraQ	yraQ
pta	pta
prpC	prpC
plsX	plsX
dhaM	dhaH
fieF	fieF
ygeX	ygeX
nikD	nikD
wcaL	wcaL
yehU	yehU
frlA	frlA
bioC	bioC
pdxJ	pdxJ
amiD	ybjR
glsB	yneH
ydbC	ydbC
yeaP	yeaP
kefC	kefC
deoA	deoA
aroC	aroC
mltF	yfhD
agaC	agaC
acrA	acrA
ybiB	ybiB
kdgK	kdgK
mtlD	mtlD
fsaA	fsaA
recQ	recQ
fepB	fepB
clsA	cls
uraA	uraA
dxs	dxs
bcsE	bcsE
polA	polA
nadA	nadA
cysC	cysC
cpdA	cpdA
mepA	mepA
plsC	plsC
thiM	thiM
ydgI	ydgI
gluQ	yadB
otsA	otsA
ahpF	ahpF
ubiB	ubiB
ahr	yjgB
yhhJ	yhhJ
thrB	thrB
asnB	asnB
nanE	nanE
xerC	xerC
hyfI	hyfI
sgbE	sgbE
aceK	aceK
umpH	nagD
mlaF	yrbF
rluD	rluD
fliP	fliP
yidE	yidE
rseB	rseB
lpxK	lpxK
kdgT	kdgT
pepT	pepT
yhjG	yhjG
treA	treA
alaC	yfdZ
yeiQ	yeiQ
ttdB	ttdB
dtpA	ydgR
lptD	imp
ppiD	ppiD
cysJ	cysJ
dapE	dapE
tus	tus
flhB	flhB
gntU	gntU
rluC	rluC
loiP	yggG
ffh	ffh
ubiD	ubiD
bglA	bglA
yedZ	yedZ
paaF	paaF
mdh	mdh
hyaF	hyaF
rpoA	rpoA
fimB	fimB
ybaE	ybaE
kdgR	kdgR
topB	topB
glcD	glcD
yhjK	yhjK
napH	napH
yhjC	yhjC
pyrH	pyrH
ydcP	ydcP
ybdN	ibrA
ytfL	ytfL
fbaB	fbaB
aroM	aroM
metQ	metQ
focA	focA
rimK	rimK
ycbJ	ycbJ
yfeX	yfeX
arnB	yfbE
ydcS	ydcS
yhaM	yhaM
ygeV	ygeV
thiG	thiG
malG	malG
yebZ	yebZ
grxB	grxB
nemA	nemA
yedI	yedI
yegX	yegX
dkgB	dkgB
kdpE	kdpE
yafT	yafT
murA	murA
rnr	rnr
cirA	cirA
htpX	htpX
ydcK	ydcK
potG	potG
emrD	emrD
chiP	ybfM
potD	potD
yegL	yegL
yphE	yphE
bcr	bcr
preT	yeiT
bluR	ycgE
ycbZ	ycbZ
dnaC	dnaC
glnQ	glnQ
clpX	clpX
cadC	cadC
ynfF	ynfF
qmcA	ybbK
yojI	yojI
ybjI	ybjI
prmA	prmA
panE	panE
prpD	prpD
ybhP	ybhP
kduI	kduI
fliD	fliD
pdxB	pdxB
ettA	yjjK
ileS	ileS
umpG	surE
nuoH	nuoH
lacI	lacI
yeiB	yeiB
fmt	fmt
yaaW	htpY
lsrB	lsrB
yghS	yghS
yfdX	yfdX
arnT	arnT
aroE	aroE
ssuA	ssuA
yiaV	yiaV
rpoN	rpoN
yebS	yebS
hemB	hemB
parE	parE
yhhI	yhhI
deoC	deoC
nuoM	nuoM
yjeH	yjeH
gltJ	gltJ
flgJ	flgJ
araF	araF
ycjW	ycjW
ppsA	pps
malY	malY
epmB	yjeK
ytjC	ytjC
pyrD	pyrD
yihY	rbn
rng	rng
yfeW	murQ
murE	murE
gsiA	yliA
uspE	uspE
tsaD	gcp
baeS	baeS
wecD	rffC
hchA	hchA
arcB	arcB
yfgO	perM
patD	ydcW
mglC	mglC
dgoR	dgoR
pyrF	pyrF
selB	selB
yebK	yebK
mdtE	mdtE
lrhA	lrhA
nhaR	nhaR
flgD	flgD
ydiR	ydiR
lsrC	lsrC
yjfJ	yjfJ
yqeB	yqeB
lldD	lldD
cysI	cysI
rsmA	ksgA
mdtC	mdtC
norW	norW
ugpC	ugpC
melA	melA
nfo	nfo
malK	malK
tap	tap
ycaC	ycaC
recJ	recJ
ygfM	ygfM
ygjK	ygjK
gsk	gsk
pepN	pepN
setB	setB
relA	relA
dcm	dcm
leuC	leuC
fumA	fumA
groL	groL
adeQ	yicO
sufB	sufB
rstA	rstA
wcaK	wcaK
tyrB	tyrB
ycfH	ycfH
lpxD	lpxD
yhjX	yhjX
yddW	yddW
yhcC	yhcC
uvrA	uvrA
yfcF	yfcF
fhuA	fhuA
acrS	envR
elfD	ycbR
sgbU	sgbU
thrS	thrS
caiB	caiB
glpX	glpX
envZ	envZ
fliI	fliI
puuE	puuE
lysA	lysA
yqiJ	yqiJ
rseP	yaeL
cyoC	cyoC
ycjN	ycjN
lptB	lptB
azoR	azoR
cbl	cbl
yfgM	yfgM
yqiK	yqiK
mfd	mfd
flgF	flgF
ydiK	ydiK
ilvB	ilvB
udp	udp
yihL	yihL
ssuC	ssuC
ynjF	ynjF
fic	fic
rsxE	rsxE
djlA	djlA
fhuD	fhuD
phnI	phnI
garD	garD
rapA	hepA
pdhR	pdhR
yjbB	yjbB
frmA	frmA
yggW	yggW
galK	galK
insF1	insF
ybeU	ybeU
tig	tig
glsA	ybaS
recF	recF
citC	citC
wzc	wzc
gfcC	ymcB
appA	appA
yfaT	yfaT
ydaN	ydaN
opgH	mdoH
thiK	ycfN
hemE	hemE
ltaE	ltaE
ispH	ispH
mreC	mreC
sfmC	sfmC
phoA	phoA
puuP	puuP
dinF	dinF
proY	proY
kefB	kefB
cpsB	cpsB
yqeG	yqeG
speB	speB
proW	proW
minD	minD
ulaF	ulaF
iap	iap
yicC	yicC
hrpA	hrpA
folD	folD
rsgA	rsgA
uxuA	uxuA
nuoB	nuoB
citE	citE
ycjO	ycjO
entA	entA
queA	queA
yehP	yehP
cdd	cdd
ompW	ompW
plsY	plsY
uup	uup
fepA	fepA
yghB	yghB
kbaZ	kbaZ
ascF	ascF
galP	galP
dcuC	dcuC
yncE	yncE
murJ	mviN
marC	marC
yfiN	yfiN
ispB	ispB
mnmG	gidA
adiC	adiC
mutL	mutL
pgl	pgl
cysK	cysK
adiA	adiA
fepC	fepC
ydcR	ydcR
rsxD	rsxD
yfbS	yfbS
arcA	arcA
gapA	gapA
eptC	yijP
ddpB	ddpB
yeiE	yeiE
yfaQ	yfaQ
murB	murB
glpQ	glpQ
ygfF	ygfF
ilvI	ilvI
brnQ	brnQ
yoaA	yoaA
flgK	flgK
yidK	yidK
torC	torC
efeO	efeO
acrB	acrB
cho	ydjQ
moeB	moeB
eutL	eutL
purD	purD
tufA	tufA
citA	citA
cysD	cysD
pdxK	pdxK
mdlA	mdlA
nirC	nirC
exoX	exoX
yeaI	yeaI
dgoD	dgoD
ascG	ascG
ytfQ	ytfQ
ycjS	ycjS
fbp	fbp
fumC	fumC
yfhR	yfhR
yqjI	yqjI
yjjI	yjjI
norV	norV
wcaG	fcl
yoaD	adrB
clsC	ymdC
malE	malE
gadW	gadW
uvrY	uvrY
ycjG	ycjG
pssA	pssA
dsbG	dsbG
ydeN	ydeN
yjiL	hgdC
accA	accA
narY	narY
wza	wza
fliR	fliR
trmD	trmD
rimO	yliG
umuC	umuC
degS	degS
mhpT	mhpT
can	can
yahD	yahD
baeR	baeR
thiI	thiI
sdaC	sdaC
nlpI	nlpI
manA	manA
nlpE	nlpE
fdnI	fdnI
folM	folM
yggE	yggE
lysR	lysR
atpA	atpA
sthA	sthA
ddlA	ddlA
lpxP	ddg
purU	purU
livH	livH
ybjT	ybjT
rpoD	rpoD
sseB	sseB
torA	torA
pyrG	pyrG
mscS	mscS
fbaA	fbaA
manY	manY
gntR	gntR
aspC	aspC
yhjY	yhjY
wzxE	wzxE
ybbW	ybbW
ydiO	ydiO
gltI	gltI
trmA	trmA
rspB	rspB
slt	slt
secD	secD
fumB	fumB
yccM	yccM
leuA	leuA
nusA	nusA
pldA	pldA
yiaT	yiaT
dsbD	dipZ
trpE	trpE
tufB	tufB
mtfA	yeeI
yjjP	yjjP
proX	proX
abgT	abgT
fabB	fabB
lysC	lysC
efeB	efeB
hisP	hisP
fhlA	fhlA
ubiI	visC
sufS	sufS
ybbO	ybbO
inaA	inaA
cysS	cysS
yifB	yifB
clpP	clpP
ldtB	ybiS
eutB	eutB
exuR	exuR
tldD	tldD
ygfT	ygfT
cbdA	appC
rlmA	rrmA
tsf	tsf
lolB	lolB
usg	usg
araC	araC
cysP	cysP
lolC	lolC
murP	murP
mukB	mukB
lptG	yjgQ
solA	solA
yfbT	yfbT
sapD	sapD
fetA	ybbL
dxr	dxr
bcsC	bcsC
pfkB	pfkB
hflX	hflX
xanQ	ygfO
recO	recO
hybA	hybA
gadC	gadC
oppA	oppA
macA	macA
rlmI	yccW
paaG	paaG
ompF	ompF
cusC	cusC
fixC	fixC
fdoI	fdoI
yicG	yicG
rffH	rffH
nei	nei
sdaB	sdaB
yecC	yecC
feoB	feoB
mazG	mazG
ycaP	ycaP
ptsI	ptsI
pepQ	pepQ
glyQ	glyQ
rsmB	rsmB
sdhA	sdhA
yiaU	yiaU
sbmA	sbmA
mdtK	mdtK
rob	rob
yceH	yceH
yfjD	yfjD
gudX	gudX
pitA	pitA
oppB	oppB
hycE	hycE
secA	secA
setA	setA
tdcC	tdcC
sapB	sapB
dgoA	dgoA
ycbF	ycbF
ybdK	ybdK
rhtB	rhtB
phoH	phoH
yhiN	yhiN
yhjH	yhjH
ddlB	ddlB
pqiB	pqiB
prkB	prkB
amiB	amiB
rbsR	rbsR
uidB	uidB
yigE	yigE
deoB	deoB
gltA	gltA
ptrB	ptrB
glcA	yghK
yeaM	yeaM
tsaA	yaeB
mdtB	mdtB
prmC	prmC
ftsI	ftsI
glk	glk
lepB	lepB
ycjP	ycjP
dgoT	dgoT
yecA	yecA
yhbX	yhbX
yebQ	yebQ
gudD	gudD
yhfZ	yhfZ
hofB	hofB
pdxY	pdxY
narI	narI
putP	putP
hemC	hemC
yqeA	yqeA
narX	narX
moaA	moaA
kgtP	kgtP
narL	narL
thrC	thrC
yehW	yehW
dmlR	yeaT
guaC	guaC
hycG	hycG
araE	araE
gsiD	yliD
clcA	clcA
lpxH	lpxH
glcC	glcC
bcsZ	bcsZ
hypT	yjiE
yaaU	yaaU
wecE	rffA
ftsA	ftsA
yehL	yehL
guaB	guaB
dnaK	dnaK
ygbK	ygbK
sufC	sufC
kdpB	kdpB
ydhU	ydhU
ybeZ	ybeZ
ushA	ushA
metH	metH
proA	proA
kup	trkD
yggN	yggN
hyfC	hyfC
ybhK	ybhK
yadL	yadL
mpaA	mpaA
gpsA	gpsA
rep	rep
yhfK	yhfK
ybgI	ybgI
yicL	yicL
flgI	flgI
frdA	frdA
yeeO	yeeO
hsrA	hsrA
mhpR	mhpR
acnB	acnB
yiiX	yiiX
yahK	yahK
dfp	dfp
mdtG	mdtG
yebC	yebC
murG	murG
aegA	aegA
php	php
ybaP	ybaP
maeB	maeB
dapB	dapB
speA	speA
ompN	ompN
epmA	poxA
kduD	kduD
torR	torR
gyrB	gyrB
hemA	hemA
puuA	puuA
glpC	glpC
mqo	mqo
gcvT	gcvT
nepI	yicM
ydiP	ydiP
ybiT	ybiT
dacB	dacB
nrdF	nrdF
glnL	glnL
malQ	malQ
ulaG	ulaG
tmk	tmk
yihO	yihO
hyfG	hyfG
sgbH	sgbH
citG	citG
dapD	dapD
fhuE	fhuE
ycaD	ycaD
ybdM	ibrB
aldA	aldA
potF	potF
era	era
ybgF	ybgF
carA	carA
waaF	waaF
mdtF	mdtF
kch	kch
yidR	yidR
osmF	yehZ
yrbL	yrbL
thiC	thiC
ldtA	erfK
yafV	yafV
lsrK	lsrK
dosC	yddV
nagZ	nagZ
gltD	gltD
folP	folP
sapF	sapF
yciM	yciM
leuO	leuO
hycD	hycD
rssB	rssB
fadK	ydiD
lldR	lldR
ccmH	ccmH
lpd	lpd
ccmB	ccmB
yicH	yicH
sapA	sapA
yeaH	yeaH
malX	malX
ybdG	ybdG
yebT	yebT
napC	napC
ygiM	htrG
gmr	gmr
bglX	bglX
gfcE	yccZ
fdoG	fdoG
ghrA	ycdW
emrY	emrY
emrB	emrB
rpoH	rpoH
ucpA	ucpA
ftsX	ftsX
envC	envC
treC	treC
cysZ	cysZ
ydjE	ydjE
yeeY	yeeY
aroD	aroD
arnC	yfbF
pflC	pflC
talA	talA
alr	alr
sanA	sanA
ygeW	ygeW
yegU	yegU
trpD	trpD
surA	surA
ttcA	ydaO
srlE	srlE
rpe	rpe
yjjW	yjjW
yahG	yahG
cheZ	cheZ
fliF	fliF
allC	allC
mngA	mngA
melR	melR
ynfK	ynfK
ompL	ompL
hisC	hisC
fadD	fadD
tnaA	tnaA
ldtE	ynhG
cpsG	cpsG
cpdB	cpdB
citF	citF
cadA	cadA
yfeO	yfeO
aidB	aidB
zupT	ygiE
rna	rna
rluE	ymfC
yafD	yafD
argB	argB
rluA	rluA
menB	menB
eda	eda
yceM	mviM
srmB	srmB
mpl	mpl
metF	metF
hisD	hisD
holB	holB
yraI	yraI
hemL	hemL
maeA	sfcA
ribF	ribF
ttdA	ttdA
creC	creC
gsiB	yliB
aroF	aroF
paoB	yagS
osmY	osmY
fryC	ypdG
rpsB	rpsB
parC	parC
ydhS	ydhS
deoD	deoD
ypfG	ypfG
ydgH	ydgH
bamA	yaeT
rpsA	rpsA
yliI	yliI
bcsG	bcsG
prfB	prfB
aroB	aroB
lysU	lysU
gpr	yghZ
yfeA	yfeA
wzxC	wzxC
bglB	bglB
arsB	arsB
znuA	znuA
kbaY	kbaY
rutG	rutG
hycC	hycC
allS	ybbS
ybcH	ybcH
nupG	nupG
yjbG	yjbG
ydcI	ydcI
sucB	sucB
frc	frc
yedW	yedW
thiD	thiD
argI	argI
purF	purF
yjcE	yjcE
yjtD	yjtD
abgR	abgR
miaA	miaA
hisG	hisG
rclR	ykgD
cheR	cheR
gsiC	yliC
bamB	yfgL
asnA	asnA
narV	narV
rhaS	rhaS
yiaD	yiaD
btuB	btuB
proV	proV
ylbF	ylbF
yedJ	yedJ
xdhA	xdhA
ispU	ispU
ecpB	yagY
hdfR	hdfR
yghA	yghA
artI	artI
sfmH	sfmH
mtlA	mtlA
barA	barA
yciC	yciC
queG	yjeS
xthA	xthA
srkA	yihE
ygdH	ygdH
yhaK	yhaK
ygfZ	ygfZ
torY	torY
