"","Gene","Identity.x","Score.x","Length.x","Mismatches.x","DE.x","Identity.y","Score.y","Length.y","Mismatches.y","DE.y","mismatchRatio","X.1","K12","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_starvation1","IAI1_starvation2","IAI1_K12ref_starvation1","IAI1_K12ref_starvation2"
"21","acnA",2644,2580,2676,32,0,889,4748,891,2,0,0.0119581464872945,21,"acnA",713,2006.02388628678,-0.00263086231197439,0.0567411586975422,-0.04636603080311,0.96301851087286,0.999740963348521,2120.37743236417,1898.98320627209,2124.05066343065,1880.68424308019
"22","acnB",2563,2493,2598,35,0,864,4596,865,1,0,0.0134719014626636,22,"acnB",89,18013.7647128922,-0.00842111375753025,0.0552586486146569,-0.152394493326365,0.878875800041096,0.999740963348521,17305.6282666662,18893.1605946427,17194.0955781567,18662.1744121034
"23","acrA",1192,1188,1194,2,0,397,2060,397,0,0,0.0016750418760469,23,"acrA",254,603.939516445604,0.0241365260332899,0.0556511172186181,0.433711437247032,0.664498000158785,0.999740963348521,612.726079356354,570.028311771553,639.286125915965,593.717548738545
"24","acrB",3126,3078,3150,24,0,1048,5529,1049,1,0,0.00761904761904762,24,"acrB",253,1554.00451930832,0.0177272033345569,0.0567453440071583,0.312399257502442,0.754737114580883,0.999740963348521,1606.03272349602,1464.51718306999,1643.23546450231,1502.23270616497
"25","acrD",3084,3024,3114,30,0,1036,5505,1037,1,0,0.00963391136801541,25,"acrD",1339,69.4745752550082,0.00405374454415862,0.0345750287390764,0.117244864053493,0.906666015681833,0.999740963348521,68.176563759369,68.8923105844762,70.2314335513314,70.5979931248562
"26","acrE",1146,1122,1158,12,0,385,2028,385,0,0,0.0103626943005181,26,"acrE",1756,6.36243300610085,0.000672050314068172,0.0119181998096637,0.0563885758588516,0.955032257619776,0.999740963348521,6.90395582373357,5.55583149874808,7.20322395398271,5.78672074793903
"27","acrF",3075,3015,3105,30,0,1030,5423,1034,4,0,0.00966183574879227,27,"acrF",1757,177.653506431445,-0.00255609087825888,0.046240723830018,-0.0552779166618397,0.955917055212124,0.999740963348521,169.146917681472,187.787104657685,171.976971901337,181.703031485286
"28","acrR",645,639,648,3,0,215,1146,215,0,0,0.00462962962962963,28,"acrR",255,171.314780849173,0.0116529915171221,0.0460344941378828,0.253136082743063,0.800163056663669,0.999740963348521,164.831945291639,171.119610161441,171.076568907089,178.230999036522
"29","acs",1948,1926,1959,11,0,652,3501,652,0,0,0.00561510974987238,29,"acs",2214,5143.02864796888,0.0214505626623977,0.056230217484615,0.381477497722051,0.702848965357284,0.999740963348521,5344.52480204775,4806.90541271684,5483.45423496934,4937.23014214158
"30","actP",1619,1557,1650,31,0,548,2824,549,1,0,0.0187878787878788,30,"actP",2213,803.152277767315,-0.0435558876261272,0.0565430965230838,-0.770313093983904,0.441114191007041,0.999740963348521,837.104643627695,822.263061814716,782.450202001372,770.791203625479
"31","ada",1049,1017,1065,16,0,352,1883,354,2,0,0.0150234741784038,31,"ada",1205,99.065878708092,-0.00230810026004948,0.038146706129643,-0.0605058862016896,0.95175272793022,0.999740963348521,110.463293179737,88.8933039799693,108.948762303988,87.9581553686733
"32","add",1002,1002,1002,0,0,333,1753,333,0,0,0,32,"add",881,448.21719335802,0.0217771216741541,0.0545757340407125,0.399025721906164,0.689874251572011,0.999740963348521,444.442156152848,433.35485690235,463.707542037637,451.364218339245
"33","adhE",2670,2658,2676,6,0,891,4750,891,0,0,0.00224215246636771,33,"adhE",690,7814.41862866192,0.0352310841028454,0.0550461271765158,0.640028389097571,0.522154143104729,0.999740963348521,7426.06748290342,7895.94772602078,7733.56131759468,8202.09798812879
"34","adhP",981,935,1004,23,0,333,1739,336,3,0,0.0229083665338645,34,"adhP",811,98.885690491315,-0.0190683735236113,0.0388953639653941,-0.49024797764013,0.623958434383684,0.999740963348521,109.60029870177,97.7826343779663,99.0443293672622,89.1154995182611
"35","adiA",2257,2235,2268,11,0,753,4109,755,2,0,0.00485008818342152,35,"adiA",2236,41.2627925868383,0.00393288156708191,0.0280968417118703,0.13997593065488,0.888679007693607,0.999740963348521,39.697745986468,41.1131530907358,41.4185377354006,42.8217335347489
"36","adiC",1327,1305,1338,11,0,444,2274,445,1,0,0.00822122571001495,36,"adiC",2234,24.9352952384445,9.97758812073656e-05,0.0223625392687452,0.00446174202349268,0.996440056736556,0.999740963348521,27.6158232949343,22.2233259949923,27.912492821683,21.9895388421683
"37","adiY",761,759,762,1,0,252,1351,253,1,0,0.00131233595800525,37,"adiY",2235,42.6473553262107,0.00397138199754717,0.0281686047864391,0.140986109452573,0.887880915781606,0.999740963348521,45.7387073322349,37.779654191487,47.7213586951354,39.3497010859854
"38","adk",642,636,645,3,0,213,1107,214,1,0,0.00465116279069767,38,"adk",260,295.229436853968,0.0168418300905771,0.051591298548865,0.326447105699913,0.744086102591427,0.999740963348521,283.062188773076,295.570235733398,294.431779119043,307.853543790357
"39","adrB",1592,1578,1599,7,0,532,2817,532,0,0,0.00437773608505316,39,"yoaD",994,48.9752294370995,0.0035542311277469,0.0301477467199092,0.117893757061444,0.906151839894856,0.999740963348521,47.4646962881683,48.8913171889831,48.6217616893833,50.9231425818635
"40","aegA",1956,1908,1980,24,0,657,3538,659,2,0,0.0121212121212121,40,"aegA",1337,59.5989529676919,0.000279546174834996,0.0313920503600857,0.00890499892897831,0.992894932744855,0.999740963348521,69.0395582373357,50.0024834887327,68.4306275628357,50.9231425818635
"41","aer",1504,1470,1521,17,0,502,2672,506,4,0,0.0111768573307035,41,"aer",1653,37.7337486685514,0.00356177757178371,0.0267718623998598,0.133041830209106,0.894160298803481,0.999740963348521,40.5607404644347,33.3349889924885,42.3189407296484,34.7203244876342
"42","aes",950,930,960,10,0,317,1707,319,2,0,0.0104166666666667,42,"aes",262,239.298764892914,0.00673808586388207,0.0495342121652772,0.136028929690041,0.891798410940054,0.999740963348521,228.693536661174,245.567752244665,234.104778504438,248.828992161378
"43","agaC",800,792,804,4,0,266,1376,267,1,0,0.00497512437810945,43,"agaC",1689,12.2840166441481,0.00126483781213535,0.0162791387698814,0.0776968505530203,0.938069199428971,0.999740963348521,12.9449171695004,11.1116629974962,13.5060449137176,11.5734414958781
"44","agaD",787,777,792,5,0,262,1372,263,1,0,0.00631313131313131,44,"agaD",1690,22.5175204323082,0.00109416408443728,0.0211822261791825,0.0516548201865866,0.958803737414579,0.999740963348521,18.9858785152673,25.5568248942412,18.9084628792046,26.6189154405196
"45","agaI",738,702,756,18,0,247,1312,251,4,0,0.0238095238095238,45,"agaI",1691,4.21087699220812,-0.00201330219889787,0.0094174369833287,-0.213784515092793,0.830715100964606,0.999740963348521,2.58898343390009,6.6669977984977,1.80080598849568,5.78672074793903
"46","agaR",805,795,810,5,0,269,1412,269,0,0,0.00617283950617284,46,"agaR",1685,256.051172011587,0.0117104769874306,0.0503329184417633,0.23266040098549,0.816025120839369,0.999740963348521,247.679415176442,256.679415242161,254.814047372138,265.031810255608
"47","agaS",1143,1119,1155,12,0,381,2042,384,3,0,0.0103896103896104,47,"agaS",1687,17.9711757247973,-0.00170543586068625,0.0191455364217546,-0.089077465531256,0.929020346090678,0.999740963348521,15.5339006034005,21.1121596952427,14.4064479079654,20.8321946925805
"48","agp",1235,1221,1242,7,0,412,2223,413,1,0,0.00563607085346216,48,"agp",570,3864.39364100416,0.018595926042772,0.0554043126467226,0.335640406936301,0.737142049522003,0.999740963348521,3891.24210115183,3755.7420931537,3979.78123457545,3830.80913513564
"49","ahpF",1553,1527,1566,13,0,521,2763,521,0,0,0.00830140485312899,49,"ahpF",329,627.62189551154,0.0126563004981251,0.0559966249450699,0.226018987939726,0.821186652182497,0.999740963348521,626.533991003821,615.586130061288,641.086931904461,627.280529076591
"50","aidB",1586,1506,1626,40,0,538,2867,541,3,0,0.02460024600246,50,"aidB",2277,96.4048250502979,-0.00503761940949232,0.037442193744777,-0.134543917053339,0.892972485972032,0.999740963348521,107.874309745837,87.7821376802197,108.948762303988,81.0140904711465
"51","ais",589,561,603,14,0,198,1061,200,2,0,0.0232172470978441,51,"ais",1223,29.2240415029355,-0.0040346795164829,0.0219369364233116,-0.183921739965266,0.854074849707727,0.999740963348521,40.5607404644347,20.0009933954931,37.8169257584092,18.5175063934049
"52","alaS",2600,2538,2631,31,0,873,4662,876,3,0,0.0117825921702775,52,"alaS",1441,1609.15758355388,0.0230400873308952,0.0565897056431577,0.407142731509878,0.683903160247161,0.999740963348521,1617.25165170959,1553.41048704996,1671.14795732399,1594.820238132
"53","aldA",1432,1416,1440,8,0,477,2525,479,2,0,0.00555555555555556,53,"aldA",779,5614.25023528848,0.0302741762392103,0.0546713434096233,0.5537485335303,0.579750955071282,0.999740963348521,5486.91889091225,5555.83149874808,5668.03684879014,5746.21370270346
"54","aldB",1534,1524,1539,5,0,511,2746,512,1,0,0.0032488628979857,54,"aldB",1926,327.693542471433,0.0123857908743094,0.0507102170697508,0.244246457420465,0.807039948535605,0.999740963348521,352.964741488379,292.236736834149,364.663212670375,300.90947889283
"55","alkB",642,624,651,9,0,212,1145,216,4,0,0.0138248847926267,55,"alkB",1204,25.8169939745517,0.000187884303333415,0.022561331289492,0.00832771350779827,0.993355522765409,0.999740963348521,29.3418122508677,22.2233259949923,29.7132988101787,21.9895388421683
"56","allB",1338,1290,1362,24,0,449,2411,453,4,0,0.0176211453744493,56,"allB",286,339.077546592312,-0.029172468031545,0.0494399920361089,-0.590058105394488,0.555151694784294,0.999740963348521,395.251470908747,310.015397630143,370.966033630109,280.077284200249
"57","allC",1213,1167,1236,23,0,407,2212,411,4,0,0.0186084142394822,57,"allC",290,78.7274266701446,-0.00256938769809238,0.0356505074351381,-0.0720715603492342,0.942544958905199,0.999740963348521,85.4364533187029,73.3369757834747,85.5382844535446,70.5979931248562
"58","allD",1044,1032,1050,6,0,347,1867,349,2,0,0.00571428571428571,58,"allD",291,23.4980416726967,0.00232583259184602,0.0219329912108199,0.106042653712397,0.91554851018499,0.999740963348521,21.5748619491674,24.4456585944916,22.510074856196,25.4615712909318
"59","allR",810,800,815,5,0,271,1421,271,0,0,0.00613496932515337,59,"allR",281,1260.24840756868,0.0213686542551233,0.0564890856421855,0.378279343915692,0.705223088540201,0.999740963348521,1146.91966121774,1332.28839339979,1190.33275839564,1371.45281726155
"60","alr",1073,1059,1080,7,0,357,1894,359,2,0,0.00648148148148148,60,"alr",2207,102.778905331259,0.00271970276727968,0.0396031086493808,0.0686739718176693,0.945249136758615,0.999740963348521,105.285326311937,98.8938006777159,106.247553321245,100.688941014139
"61","alx",966,966,966,0,0,321,1641,321,0,0,0,61,"alx",1662,18.8369915035989,0.00179058161644316,0.0193867559965215,0.0923610745791836,0.926411165177277,0.999740963348521,14.6709061254338,22.2233259949923,15.3068509022133,23.1468829917561
"62","amiA",858,834,870,12,0,288,1503,289,1,0,0.0137931034482759,62,"amiA",1319,113.193627163933,0.00056165772857715,0.0399415989102372,0.0140619740796905,0.988780537743046,0.999740963348521,102.696342878037,123.339459272207,101.745538350006,124.993168155483
"63","amiB",1325,1299,1338,13,0,444,2347,445,1,0,0.00971599402092676,63,"amiB",2265,198.266740970391,-0.0116115431358818,0.0461352402641199,-0.251684895741451,0.801284632710705,0.999740963348521,220.926586359474,183.342439458687,215.196315625233,173.601622438171
"64","amiC",1225,1167,1254,29,0,417,2195,417,0,0,0.0231259968102073,64,"amiC",1511,70.6175074693692,-0.00675278066027551,0.0347165612727404,-0.194511795313605,0.845775160781984,0.999740963348521,73.3545306271691,71.1146431839755,72.0322395398271,65.968616526505
"65","amn",1448,1434,1455,7,0,484,2590,484,0,0,0.00481099656357388,65,"amn",1082,241.714450178062,0.009825003904744,0.0494354523053034,0.198744088434081,0.842462934317537,0.999740963348521,226.967547705241,250.012417443664,234.104778504438,255.773057058905
"66","ampE",855,855,855,0,0,284,1477,284,0,0,0,66,"ampE",83,240.766726225302,0.0146510756831272,0.0487209300089675,0.30071420394542,0.763632436661481,0.999740963348521,253.720376522209,217.788594750925,264.718480308864,226.83945331921
"67","ampG",1456,1416,1476,20,0,489,2495,491,2,0,0.013550135501355,67,"ampG",239,16.5316731851917,0.000569519761273483,0.0187220428115626,0.0304197446296699,0.975732298204377,0.999740963348521,17.2598895593339,15.5563281964946,17.1076568907089,16.2028180942293
"68","ampH",1143,1113,1158,15,0,385,2057,385,0,0,0.0129533678756477,68,"ampH",205,49.9096189995823,0.00138330188555816,0.0303903409734793,0.0455178139253299,0.963694576154948,0.999740963348521,49.1906852441017,50.0024834887327,49.5221646836311,50.9231425818635
"69","amtB",1261,1209,1287,26,0,427,2172,428,1,0,0.0202020202020202,69,"amtB",250,61.0746165572235,-0.0140484857139328,0.0327964301982809,-0.428354111377316,0.668393328574723,0.999740963348521,66.4505748034356,62.2253127859785,61.227403608853,54.3951750306269
"70","amyA",1462,1410,1488,26,0,492,2648,495,3,0,0.0174731182795699,70,"amyA",1060,300.483289370838,-0.00555858845341544,0.0503349569916402,-0.110431969860203,0.912066799893463,0.999740963348521,275.295238471376,330.016391025636,273.722510251343,322.899017734998
"71","anmK",1090,1050,1110,20,0,367,1925,369,2,0,0.018018018018018,71,"anmK",892,404.201594892654,-0.0215438781723689,0.053884873251654,-0.399813099155942,0.689294181924561,0.999740963348521,423.730288681648,402.242200509361,404.280944417279,386.552945962327
"72","ansA",1005,981,1017,12,0,337,1799,338,1,0,0.0117994100294985,72,"ansA",962,63.2290966843521,0.0012791444589073,0.0328512895962877,0.0389374199499264,0.968940282373045,0.999740963348521,56.9576355458019,68.8923105844762,57.6257916318617,69.4406489752684
"73","ansB",1043,1035,1047,4,0,346,1810,348,2,0,0.00382043935052531,73,"ansB",1594,99.7232084754839,0.00835481464344446,0.0392933051631198,0.21262692483518,0.831617968649033,0.999740963348521,97.5183760102366,97.7826343779663,101.745538350006,101.846285163727
"74","ansP",1489,1467,1500,11,0,498,2599,499,1,0,0.00733333333333333,74,"ansP",799,58.3270628093866,0.00276539676387003,0.0307606805352298,0.0899003765766122,0.928366381900507,0.999740963348521,47.4646962881683,67.7811442847266,48.6217616893833,69.4406489752684
"75","apaH",825,789,843,18,0,279,1491,280,1,0,0.0213523131672598,75,"apaH",41,38.6862418419634,-0.00173113394133162,0.0272779209607745,-0.0634628256244669,0.949397960401036,0.999740963348521,41.4237349424014,36.6684878917373,39.6177317469049,37.0350127868098
"76","aphA",707,693,714,7,0,236,1257,237,1,0,0.00980392156862745,76,"aphA",2209,337.618763011354,0.00820980643983605,0.0519840277897057,0.157929402335804,0.8745124290859,0.999740963348521,313.266995501911,355.573215919877,320.54346595223,361.091374671396
"77","appA",1298,1296,1299,1,0,431,2276,432,1,0,0.000769822940723634,77,"appA",559,46.9318197363241,0.00441026353566396,0.0296002069873756,0.148994347828207,0.881558092963173,0.999740963348521,47.4646962881683,44.4466519899847,49.5221646836311,46.2937659835123
"78","appB",1127,1107,1137,10,0,378,1929,378,0,0,0.00879507475813544,78,"cbdB",558,18.4877303519788,-0.00546273382135826,0.0194508904875164,-0.280847492553837,0.778827375154091,0.999740963348521,21.5748619491674,17.7786607959939,20.7092688677003,13.8881297950537
"79","appC",1538,1524,1545,7,0,511,2691,514,3,0,0.00453074433656958,79,"cbdA",557,65.0456723492163,0.00605600654078073,0.031386825513831,0.192947405213441,0.847000158530294,0.999740963348521,76.8065085390359,50.0024834887327,80.1358664880576,53.2378308810391
"80","aqpZ",694,690,696,2,0,230,1145,231,1,0,0.0028735632183908,80,"aqpZ",490,157.126648233068,-0.00201928117095623,0.0450190094492906,-0.0448539671498271,0.964223708780171,0.999740963348521,158.790983945872,156.674448264696,160.271732976115,152.76942774559
"81","araA",1481,1437,1503,22,0,498,2696,500,2,0,0.0146373918829009,81,"araA",50,139.92826483118,-0.0126203230944297,0.0419187766631984,-0.301066111633677,0.763364081833164,0.999740963348521,159.653978423839,127.784124471206,153.068509022133,119.206447407544
"82","araC",869,849,879,10,0,292,1570,292,0,0,0.0113765642775882,82,"araC",51,840.931947953512,0.00637521928040565,0.0561450894206971,0.113549009293331,0.909595310494564,0.999740963348521,789.639947339527,883.377208300945,791.45423194385,899.256404229726
"83","araD",694,690,696,2,0,229,1237,231,2,0,0.0028735632183908,83,"araD",49,22.363786448028,0.00223762749413606,0.0215101935146091,0.104026376732331,0.917148416519846,0.999740963348521,21.5748619491674,22.2233259949923,22.510074856196,23.1468829917561
"84","araE",1402,1368,1419,17,0,472,2461,472,0,0,0.0119802677942213,84,"araE",1528,233.897060855575,-0.00548992159158335,0.0471672215604588,-0.116392728042002,0.907341298406101,0.999740963348521,210.570652623874,261.12408044116,203.491076700011,260.402433657257
"85","araF",990,990,990,0,0,329,1735,329,0,0,0,85,"araF",1048,1372.87718449878,0.0317287324405549,0.0566624888852782,0.559960091142387,0.575506659497871,0.999740963348521,1349.72336353991,1338.95539119829,1408.23028300362,1394.59970025331
"86","araG",1494,1452,1515,21,0,502,2659,504,2,0,0.0138613861386139,86,"araG",1047,700.054371939629,-0.0128408517777187,0.0560605220053354,-0.229053375145109,0.818827431320098,0.999740963348521,736.997284183558,677.811442847266,717.621186415527,667.787574312165
"87","araH",972,942,987,15,0,327,1648,328,1,0,0.0151975683890578,87,"araH",1046,805.640751676713,0.0150697858067248,0.0564404832505447,0.267003132128202,0.789466749524079,0.999740963348521,772.380057780193,820.040729215217,788.753022961106,841.389196750335
"88","araJ",1161,1113,1185,24,0,390,1983,394,4,0,0.020253164556962,88,"araJ",215,61.9759644185055,-0.0299938743819285,0.0330914146418505,-0.906394444195066,0.364727112407288,0.999740963348521,69.9025527153024,67.7811442847266,55.824985643366,54.3951750306269
"89","arcA",712,702,717,5,0,238,1259,238,0,0,0.00697350069735007,89,"arcA",2358,11927.1249514921,0.00526803697663138,0.0542495910852713,0.0971074043369453,0.922641100843932,0.999740963348521,11640.9325132928,12146.1588225631,11764.6655228423,12156.7429472703
"90","arcB",2329,2313,2337,8,0,778,4115,778,0,0,0.00342319212665811,90,"arcB",1728,1617.06648497613,0.0305496136821731,0.0565008518216964,0.540692975365763,0.588719221113976,0.999740963348521,1587.04684498075,1584.52314344295,1648.63788246779,1648.05806901304
"91","argA",1319,1293,1332,13,0,442,2350,443,1,0,0.00975975975975976,91,"argA",1512,183.537052585766,-0.01356363950195,0.04674994753278,-0.290131651857781,0.771715522017449,0.999740963348521,183.817823806906,191.120603556934,172.877374895585,186.332408083637
"92","argB",774,774,774,0,0,257,1318,257,0,0,0,92,"argB",2153,44.9136168016903,0.00376701041698429,0.0274295821520479,0.13733386079682,0.890766906948205,0.999740963348521,53.5056576339351,34.4461552922381,55.824985643366,35.877668637222
"93","argC",1005,1005,1005,0,0,334,1774,334,0,0,0,93,"argC",2152,58.9610309180529,0.0046642848044265,0.0302851007184131,0.154012524105315,0.877599860599053,0.999740963348521,69.9025527153024,45.5578182897343,72.9326425340749,47.4511101331001
"94","argD",1207,1179,1221,14,0,404,2147,406,2,0,0.0114660114660115,94,"argD",1782,81.0904211289171,0.0037898497350616,0.0363994315752199,0.104118376882612,0.917075407475564,0.999740963348521,83.7104643627695,76.6704746827235,86.4386874477925,77.5420580223831
"95","argE",1146,1134,1152,6,0,382,2044,383,1,0,0.00520833333333333,95,"argE",2151,153.375399359221,0.00792107148145866,0.0447655609583624,0.176945654469208,0.859551077300132,0.999740963348521,150.161039166205,152.229783065697,154.869315010628,156.241460194354
"96","argG",1325,1287,1344,19,0,446,2398,447,1,0,0.0141369047619048,96,"argG",1706,197.315380437117,-0.0201460806183405,0.0476744156686285,-0.422576351189499,0.672604383841661,0.999740963348521,201.07771336624,205.565765453679,188.184225797798,194.433817130752
"97","argH",1364,1344,1374,10,0,454,2399,456,2,0,0.00727802037845706,97,"argH",2154,89.0992688515536,0.00582728771802892,0.0354862811930346,0.164212408911778,0.869563932814271,0.999740963348521,102.696342878037,72.2258094837251,106.247553321245,75.2273697232074
"98","argI",972,906,1005,33,0,332,1787,334,2,0,0.0328358208955224,98,"argI",2309,39.7578072920426,-0.015479093375976,0.0276598876529777,-0.559622424001768,0.57573700632963,0.999740963348521,44.0127183763015,42.2243193904854,36.9165227641614,35.877668637222
"99","argK",989,975,996,7,0,329,1755,331,2,0,0.0070281124497992,99,"argK",1570,8.12583047831538,0.000817256761880621,0.0130792876326839,0.0624848068818653,0.950176760648273,0.999740963348521,10.3559337356004,5.55583149874808,10.8048359309741,5.78672074793903
"100","argO",608,552,636,28,0,207,1068,211,4,0,0.0440251572327044,100,"argO",1575,48.2518729077747,-0.0369837336871429,0.0297702286072668,-1.24230600224935,0.214123681624731,0.999740963348521,55.2316465898685,57.7806475869801,36.0161197699135,43.9790776843367
"101","argP",890,882,894,4,0,297,1568,297,0,0,0.00447427293064877,101,"argP",1568,433.914973779238,0.02118774503537,0.0542390335840486,0.390636477741396,0.696065958485815,0.999740963348521,437.538200329115,412.242697207108,456.504318083654,429.374679497076
"102","argS",1718,1686,1734,16,0,575,3086,577,2,0,0.00922722029988466,102,"argS",1033,344.629845789004,-5.12222059537676e-05,0.0529155721071874,-0.000967998717844538,0.999227648888773,0.999740963348521,346.923780142612,342.239220322882,342.153137814179,347.203244876342
"103","arnT",1642,1620,1653,11,0,547,2870,550,3,0,0.00665456745311555,103,"arnT",1228,60.2535180747174,0.00420150992716427,0.0318438476627571,0.131941025835208,0.895030938346976,0.999740963348521,51.7796686780017,66.669977984977,53.1237766606225,69.4406489752684
"104","aroA",1275,1257,1284,9,0,427,2276,427,0,0,0.00700934579439252,104,"aroA",516,149.421904716695,0.0100794681946247,0.0423614170720416,0.237939825702317,0.811927765955341,0.999740963348521,164.831945291639,127.784124471206,171.976971901337,133.094577202598
"105","aroB",1085,1077,1089,4,0,361,1899,362,1,0,0.00367309458218549,105,"aroB",1801,516.869863858509,0.0218490151109268,0.0551955080951028,0.395847703281952,0.692217382998483,0.999740963348521,517.796686780017,495.580169688329,540.241796548703,513.860802416986
"106","aroC",1050,978,1086,36,0,360,1903,361,1,0,0.0331491712707182,106,"aroC",1270,199.68074461307,-0.0495921233595803,0.0478131489998998,-1.03720680182944,0.299639488800514,0.999740963348521,211.43364710184,217.788594750925,185.483016815055,184.017719784461
