"","Gene","Identity.x","Score.x","Length.x","Mismatches.x","DE.x","Identity.y","Score.y","Length.y","Mismatches.y","DE.y","mismatchRatio","X.1","IAI1","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_IAI1ref_starvation1","K12_IAI1ref_starvation2","K12_starvation1","K12_starvation2"
"27","actP",1619,1557,1650,31,0,548,2824,549,1,0,0.0187878787878788,28,"actP",2177,269.738319798518,0.0186644497956346,0.0481753523202687,0.387427364756022,0.698439848428651,0.999974208147515,236.538378220659,288.239618140615,255.863508548023,298.311774284775
"28","ada",1049,1017,1065,16,0,352,1883,354,2,0,0.0150234741784038,29,"ada",1184,42.136871392016,-0.00038667368205596,0.0266992731528859,-0.0144825546314232,0.988444997192849,0.999974208147515,40.4885512269596,43.9687553095853,40.9381613676837,43.1520176638354
"29","add",1002,1002,1002,0,0,333,1753,333,0,0,0,30,"add",865,20.8034577859808,-0.00151360701220638,0.0180010391054899,-0.0840844244232974,0.9329893082947,0.999974208147515,28.768181134945,13.6791683185376,27.6332589231865,13.1332227672543
"30","adhE",2670,2658,2676,6,0,891,4750,891,0,0,0.00224215246636771,31,"adhE",677,2032.29111256085,-0.0286039755231809,0.0564678107588951,-0.50655364779969,0.612468038499802,0.999974208147515,2184.25078987545,1957.09815300221,2103.19804026475,1884.61746710099
"31","adhP",981,935,1004,23,0,333,1739,336,3,0,0.0229083665338645,32,"adhP",794,109.557296812678,0.0168190959578105,0.0383805187731078,0.43821960972542,0.661227094689134,0.999974208147515,110.810771779047,98.6854285837358,121.791030068859,106.94195681907
"32","adiA",2257,2235,2268,11,0,753,4109,755,2,0,0.00485008818342152,33,"adiA",2196,4.52634857231133,-0.000411396960023227,0.00946496594117563,-0.0434652340621236,0.965330677521247,0.999974208147515,5.32744095091574,3.90833380529647,5.11727017096046,3.75234936207265
"33","adiC",1327,1305,1338,11,0,444,2274,445,1,0,0.00822122571001495,34,"adiC",2194,8.00822603243504,-0.000718507063468834,0.0124666193626962,-0.0576344751183162,0.954039788130509,0.999974208147515,8.52390552146519,7.81666761059294,8.18763227353673,7.50469872414529
"34","adiY",761,759,762,1,0,252,1351,253,1,0,0.00131233595800525,35,"adiY",2195,5.9192838080598,-0.000519828231321591,0.0106001696164448,-0.0490396144713708,0.960887726119077,0.999974208147515,4.26195276073259,7.81666761059294,4.09381613676837,7.50469872414529
"35","adk",642,636,645,3,0,213,1107,214,1,0,0.00465116279069767,36,"adk",251,31.0705250935676,-0.00151292050034,0.0231445381481908,-0.0653683599410373,0.94788071529105,0.999974208147515,27.7026929447619,35.1750042476682,27.6332589231865,33.7711442586538
"36","aegA",1956,1908,1980,24,0,657,3538,659,2,0,0.0121212121212121,37,"aegA",1314,6.4531120098706,0.00163904462005616,0.0112210067528799,0.146069301636906,0.883866680199474,0.999974208147515,5.32744095091574,6.83958415926882,6.14072420515255,7.50469872414529
"37","aer",1504,1470,1521,17,0,502,2672,506,4,0,0.0111768573307035,38,"aer",1627,65.536964290513,0.000674709524854102,0.0319658040659803,0.0211072283200336,0.983160118814911,0.999974208147515,68.1912441717215,62.5333408847435,68.5714202908701,62.8518518147168
"38","aes",950,930,960,10,0,317,1707,319,2,0,0.0104166666666667,39,"aes",253,21.843135257917,-0.000761642279019358,0.0197570379373575,-0.0385504285325692,0.969248825185745,0.999974208147515,24.5062283742124,19.5416690264823,24.5628968206102,18.7617468103632
"39","agaD",787,777,792,5,0,262,1372,263,1,0,0.00631313131313131,41,"agaD",1662,2.52429206420257,-0.000233989284414691,0.00715313847485331,-0.0327114154489354,0.973904720552046,0.999974208147515,3.19646457054944,1.95416690264823,3.07036210257627,1.87617468103632
"40","agaR",805,795,810,5,0,269,1412,269,0,0,0.00617283950617284,43,"agaR",1658,35.4713387317306,-0.00296485501667437,0.0248198866290469,-0.119454817058051,0.904915034414939,0.999974208147515,36.226598466227,36.1520876989923,34.7974371625311,34.709231599172
"41","agaS",1143,1119,1155,12,0,381,2042,384,3,0,0.0103896103896104,44,"agaS",1660,3.00308476216314,-0.000280187255630616,0.00781451464215436,-0.0358547227129351,0.971398198674131,0.999974208147515,3.19646457054944,2.93125035397235,3.07036210257627,2.81426202155448
"42","agp",1235,1221,1242,7,0,412,2223,413,1,0,0.00563607085346216,45,"agp",557,3347.97829022806,-0.0162016528941623,0.0556769536497605,-0.290993882245782,0.771055998411903,0.999974208147515,3516.11102760439,3243.91705839607,3448.01664119316,3183.86843371864
"43","ahpF",1553,1527,1566,13,0,521,2763,521,0,0,0.00830140485312899,46,"ahpF",320,79.0453477289246,-0.00329560383281919,0.0343823098129727,-0.0958517287159031,0.923638332881903,0.999974208147515,77.7806378833698,82.0750099112258,74.7121444960227,81.6135986250801
"44","aidB",1586,1506,1626,40,0,538,2867,541,3,0,0.02460024600246,47,"aidB",2237,273.448333807703,0.0274805175752315,0.0498129828962492,0.551673800231319,0.581171863379227,0.999974208147515,265.306559355604,261.858364954863,281.449859402825,285.178551517521
"45","ais",589,561,603,14,0,198,1061,200,2,0,0.0232172470978441,48,"ais",1201,2.2365783432383,0.000916686966076437,0.00678814287531924,0.13504237947162,0.892578367230738,0.999974208147515,2.1309763803663,1.95416690264823,2.04690806838418,2.81426202155448
"46","alaS",2600,2538,2631,31,0,873,4662,876,3,0,0.0117825921702775,49,"alaS",1418,162.85871176368,-0.00985305577646626,0.0437171762175739,-0.225381797932901,0.82168227054126,0.999974208147515,159.823228527472,171.966687433045,154.541559163006,165.103371931196
"47","aldA",1432,1416,1440,8,0,477,2525,479,2,0,0.00555555555555556,50,"aldA",762,6459.36022294849,-0.0238723617511146,0.0542635140973168,-0.439933943612675,0.659984950660541,0.999974208147515,6730.68889738695,6354.95076741206,6550.10581882939,6201.69540816557
"48","aldB",1534,1524,1539,5,0,511,2746,512,1,0,0.0032488628979857,51,"aldB",1893,1018.1207966021,-0.0185122948220041,0.0565214448884969,-0.327526921127448,0.743269384684908,0.999974208147515,1029.26159171692,1033.75429150092,1001.96149947406,1007.50580371651
"49","alkB",642,624,651,9,0,212,1145,216,4,0,0.0138248847926267,52,"alkB",1183,10.4021895222379,-0.000902638906073637,0.0139303922593535,-0.0647963739475866,0.948336128555685,0.999974208147515,8.52390552146519,12.7020848672135,8.18763227353673,12.1951354267361
"50","allB",1338,1290,1362,24,0,449,2411,453,4,0,0.0176211453744493,53,"allB",277,29.2161047043219,-0.000365334702118827,0.0220181069105362,-0.016592466536894,0.986761734565051,0.999974208147515,23.4407401840293,35.1750042476682,23.5394427864181,34.709231599172
"51","allC",1213,1167,1236,23,0,407,2212,411,4,0,0.0186084142394822,54,"allC",281,6.69738287270163,0.000538761720730083,0.0113930505382399,0.0472886273015089,0.962283192042213,0.999974208147515,5.32744095091574,7.81666761059294,6.14072420515255,7.50469872414529
"52","allD",1044,1032,1050,6,0,347,1867,349,2,0,0.00571428571428571,55,"allD",282,1.00102825405438,-9.91267545357955e-05,0.00465531401945706,-0.0212932476996163,0.983011730174536,0.999974208147515,1.06548819018315,0.977083451324117,1.02345403419209,0.938087340518162
"53","allR",810,800,815,5,0,271,1421,271,0,0,0.00613496932515337,56,"allR",272,2125.48817869231,-0.0281589723117829,0.0565012924656241,-0.498377489840875,0.618217999627339,0.999974208147515,2032.95146686945,2298.10027751432,1958.89102144366,2212.00994894182
"54","alr",1073,1059,1080,7,0,357,1894,359,2,0,0.00648148148148148,57,"alr",2171,7.35566190194151,-0.000603465161674554,0.0114041439651445,-0.0529163051184708,0.957798592991619,0.999974208147515,4.26195276073259,10.7479179645653,4.09381613676837,10.3189607456998
"55","alx",966,966,966,0,0,321,1641,321,0,0,0,58,"alx",1635,1.47982095201495,-0.000141991565678067,0.00555770424385712,-0.0255486005458115,0.979617383492737,0.999974208147515,1.06548819018315,1.95416690264823,1.02345403419209,1.87617468103632
"56","amiA",858,834,870,12,0,288,1503,289,1,0,0.0137931034482759,59,"amiA",1296,46.8377509081566,-0.000879328692504126,0.0277682683695137,-0.031666673657963,0.974737872118814,0.999974208147515,51.1434331287911,42.9916718582611,49.1257936412204,44.0901050043536
"57","amiB",1325,1299,1338,13,0,444,2347,445,1,0,0.00971599402092676,60,"amiB",2225,35.4083978181944,0.00102925961046111,0.0247634226679577,0.0415637056420681,0.966846506926383,0.999974208147515,35.1611102760439,35.1750042476682,33.773983128339,37.5234936207265
"58","amiC",1225,1167,1254,29,0,417,2195,417,0,0,0.0231259968102073,61,"amiC",1487,15.8272167058893,0.00178380304888895,0.0169915918243421,0.104981514818022,0.916390476695722,0.999974208147515,18.1132992331135,12.7020848672135,18.4221726154577,14.0713101077724
"59","amn",1448,1434,1455,7,0,484,2590,484,0,0,0.00481099656357388,62,"amn",1064,24.1018147858701,-1.18524054290232e-05,0.020625615673701,-0.000574644927769879,0.999541499709423,0.999974208147515,27.7026929447619,20.5187524778065,26.6098048889944,21.5760088319177
"60","ampE",855,855,855,0,0,284,1477,284,0,0,0,63,"ampE",76,45.393814297513,-0.00325103972674755,0.0259538987935241,-0.125262094632146,0.900316059875154,0.999974208147515,56.4708740797069,36.1520876989923,54.2430638121809,34.709231599172
"61","ampG",1456,1416,1476,20,0,489,2495,491,2,0,0.013550135501355,64,"ampG",230,1.52326381014819,-0.000143420128663891,0.00560934892418264,-0.0255680526568045,0.979601868022099,0.999974208147515,2.1309763803663,0.977083451324117,2.04690806838418,0.938087340518162
"62","ampH",1143,1113,1158,15,0,385,2057,385,0,0,0.0129533678756477,65,"ampH",196,12.5953250073429,-6.0455423307288e-05,0.0150451766404808,-0.00401825945629814,0.996793901446352,0.999974208147515,9.58939371164833,15.6333352211859,9.21108630772883,15.9474847888087
"63","amtB",1261,1209,1287,26,0,427,2172,428,1,0,0.0202020202020202,66,"amtB",241,10.2661460490918,0.000222248708088598,0.0140101703185966,0.0158633837444212,0.987343381863674,0.999974208147515,10.6548819018315,9.77083451324117,11.257994376113,9.38087340518162
"64","amyA",1462,1410,1488,26,0,492,2648,495,3,0,0.0174731182795699,67,"amyA",1042,161.72641137923,0.00074150363959756,0.0437954524714147,0.0169310647054403,0.986491610264635,0.999974208147515,159.823228527472,163.172936371128,160.682283368158,163.22719725016
"65","anmK",1090,1050,1110,20,0,367,1925,369,2,0,0.018018018018018,68,"anmK",876,47.9653982030785,0.00413724996108911,0.0282263308857837,0.146574132423738,0.883468172462982,0.999974208147515,47.9469685582417,45.9229222122335,50.1492476754125,47.8424543664262
"66","ansA",1005,981,1017,12,0,337,1799,338,1,0,0.0117994100294985,69,"ansA",945,6.48496222228685,-0.000587189913461092,0.0112773837182069,-0.0520679200188157,0.958474574395198,0.999974208147515,6.39292914109889,6.83958415926882,6.14072420515255,6.56661138362713
"67","ansB",1043,1035,1047,4,0,346,1810,348,2,0,0.00382043935052531,70,"ansB",1570,13.0133673027069,-0.00114555121463538,0.0156828867716995,-0.0730446652654907,0.941770574674724,0.999974208147515,13.8513464723809,12.7020848672135,13.3049024444972,12.1951354267361
"68","ansP",1489,1467,1500,11,0,498,2599,499,1,0,0.00733333333333333,71,"ansP",782,11.0113107945982,-0.000976140627913436,0.014498291766964,-0.0673279751575756,0.94632060645697,0.999974208147515,11.7203700920146,10.7479179645653,11.257994376113,10.3189607456998
"69","apaH",825,789,843,18,0,279,1491,280,1,0,0.0213523131672598,72,"apaH",33,35.1611769331275,0.00671354281836482,0.023984026301287,0.279917255511205,0.779540988236822,0.999974208147515,28.768181134945,38.1062546016406,29.6801669915707,44.0901050043536
"70","aphA",707,693,714,7,0,236,1257,237,1,0,0.00980392156862745,73,"aphA",2173,12.3173603140802,-0.0010030081297003,0.0146612836628465,-0.0684120267205558,0.945457648322491,0.999974208147515,8.52390552146519,16.61041867251,8.18763227353673,15.9474847888087
"71","appA",1298,1296,1299,1,0,431,2276,432,1,0,0.000769822940723634,74,"appA",547,6.48496222228685,-0.000587189913461092,0.0112773837182069,-0.0520679200188157,0.958474574395198,0.999974208147515,6.39292914109889,6.83958415926882,6.14072420515255,6.56661138362713
"72","aqpZ",694,690,696,2,0,230,1145,231,1,0,0.0028735632183908,75,"aqpZ",479,46.4729004986273,-0.00184251456361678,0.0278651016054127,-0.0661226572832193,0.947280172420079,0.999974208147515,47.9469685582417,45.9229222122335,46.0554315386441,45.9662796853899
"73","araA",1481,1437,1503,22,0,498,2696,500,2,0,0.0146373918829009,76,"araA",42,62.8998140445983,0.00562137404183899,0.0310689766361658,0.18093206312098,0.856420901443741,0.999974208147515,67.1257559815383,55.6937567254747,70.6183283592543,58.161415112126
"74","araC",869,849,879,10,0,292,1570,292,0,0,0.0113765642775882,77,"araC",43,284.480129707677,-0.00515142432217095,0.0490257804209748,-0.105075824962636,0.916315641979481,0.999974208147515,264.241071165421,308.758370618421,260.980778718983,303.940298327884
"75","araD",694,690,696,2,0,229,1237,231,2,0,0.0028735632183908,78,"araD",41,10.0334678319778,0.00346586674027508,0.0137848223953638,0.251426289064177,0.801484544621516,0.999974208147515,10.6548819018315,7.81666761059294,12.2814484103051,9.38087340518162
"76","araE",1402,1368,1419,17,0,472,2461,472,0,0,0.0119802677942213,79,"araE",1504,41.9533509317816,0.00151896357452432,0.0261473889022853,0.0580923617345043,0.953675058572639,0.999974208147515,36.226598466227,46.9000056635576,36.8443452309153,47.8424543664262
"77","araF",990,990,990,0,0,329,1735,329,0,0,0,80,"araF",1030,334.90911526839,-0.0168343336790257,0.0512207856420052,-0.328662152835473,0.742411064123884,0.999974208147515,358.004031901538,325.368789290931,343.880555488543,312.383084392548
"78","araG",1494,1452,1515,21,0,502,2659,504,2,0,0.0138613861386139,81,"araG",1029,266.933755377917,0.00505728958087521,0.0492881686004428,0.102606563085604,0.918275233747692,0.999974208147515,254.651677453772,275.537533273401,258.933870650599,278.611940133894
"79","araH",972,942,987,15,0,327,1648,328,1,0,0.0151975683890578,82,"araH",1028,215.575394194722,-0.00107135642838128,0.0470279655120628,-0.02278126252573,0.981824754484812,0.999974208147515,223.752519938461,208.118775132037,223.112979453876,207.317302254514
"80","araJ",1161,1113,1185,24,0,390,1983,394,4,0,0.020253164556962,83,"araJ",206,20.6412789991649,0.000342622768592111,0.0190105274133833,0.0180227913272362,0.985620671512968,0.999974208147515,24.5062283742124,16.61041867251,24.5628968206102,16.8855721293269
"81","arcA",712,702,717,5,0,238,1259,238,0,0,0.00697350069735007,84,"arcA",2317,4360.89634312235,-0.00588847595839646,0.0564750329114549,-0.104266888478468,0.916957553821395,0.999974208147515,4724.37463527208,4031.44632016331,4680.25529836044,4007.50911869359
"82","arcB",2329,2313,2337,8,0,778,4115,778,0,0,0.00342319212665811,85,"arcB",1698,240.448531337269,-0.0110180331556528,0.0470523646709475,-0.234165343924912,0.81485661864014,0.999974208147515,266.372047545787,222.775026901899,256.886962582215,215.760088319177
"83","argA",1319,1293,1332,13,0,442,2350,443,1,0,0.00975975975975976,86,"argA",1488,36.8874592589131,0.00103653800977139,0.0252071115312569,0.0411208562506689,0.96719954778078,0.999974208147515,35.1611102760439,38.1062546016406,35.8208911967232,38.4615809612446
"84","argB",774,774,774,0,0,257,1318,257,0,0,0,87,"argB",2118,17.9750657148456,-0.00156411934534533,0.0182521719514039,-0.0856949709607038,0.931708900015383,0.999974208147515,18.1132992331135,18.5645855751582,17.3987185812656,17.8236594698451
"85","argC",1005,1005,1005,0,0,334,1774,334,0,0,0,88,"argC",2117,25.112592067626,-0.0020919094667201,0.0210266521992007,-0.0994884704850742,0.920750441703284,0.999974208147515,28.768181134945,22.4729193804547,27.6332589231865,21.5760088319177
"86","argD",1207,1179,1221,14,0,404,2147,406,2,0,0.0114660114660115,89,"argD",1750,34.2039384301304,-0.00179744571956904,0.0244242779279509,-0.0735925837755089,0.941334572428116,0.999974208147515,34.0956220858607,35.1750042476682,33.773983128339,33.7711442586538
"87","argE",1146,1134,1152,6,0,382,2044,383,1,0,0.00520833333333333,90,"argE",2116,69.8720710376037,-0.00433062943473281,0.0322409105030578,-0.134320940915179,0.893148794836425,0.999974208147515,63.9292914109889,78.1666761059294,61.4072420515255,75.9850745819711
"88","argG",1325,1287,1344,19,0,446,2398,447,1,0,0.0141369047619048,91,"argG",1676,105.68984623018,0.00116488272978366,0.0381516953052033,0.030532921812908,0.97564203780426,0.999974208147515,102.286866257582,108.456263096977,101.321949385017,110.694306181143
"89","argH",1364,1344,1374,10,0,454,2399,456,2,0,0.00727802037845706,92,"argH",2119,49.6999985569222,0.00094621741834604,0.0286653000351809,0.033009158012815,0.973667284584215,0.999974208147515,50.077944938608,48.8541725662058,50.1492476754125,49.7186290474626
"90","argI",972,906,1005,33,0,332,1787,334,2,0,0.0328358208955224,93,"argI",2269,40.5430858540686,0.0138751664804275,0.0262217171800549,0.529147896194281,0.596702857913329,0.999974208147515,35.1611102760439,39.0833380529647,41.9616154018758,45.9662796853899
"91","argK",989,975,996,7,0,329,1755,331,2,0,0.0070281124497992,94,"argK",1546,2.52429206420257,-0.000233989284414691,0.00715313847485331,-0.0327114154489354,0.973904720552046,0.999974208147515,3.19646457054944,1.95416690264823,3.07036210257627,1.87617468103632
"92","argO",608,552,636,28,0,207,1068,211,4,0,0.0440251572327044,95,"argO",1551,6.05145600047502,0.00369105042214483,0.010653362334268,0.346468120235811,0.728990938668976,0.999974208147515,7.45841733128204,2.93125035397235,8.18763227353673,5.62852404310897
"93","argP",890,882,894,4,0,297,1568,297,0,0,0.00447427293064877,96,"argP",1544,45.0897142905803,-0.00364618256757359,0.0273644395142698,-0.133245285936597,0.893999397127857,0.999974208147515,49.0124567484248,42.9916718582611,47.0788855728362,41.2758429827991
"94","argS",1718,1686,1734,16,0,575,3086,577,2,0,0.00922722029988466,97,"argS",1015,75.3397815680921,-0.00193608001795068,0.0338168308050239,-0.0572519651268756,0.954344483824476,0.999974208147515,73.5186851226372,78.1666761059294,73.6886904618306,75.9850745819711
"95","arnT",1642,1620,1653,11,0,547,2870,550,3,0,0.00665456745311555,98,"arnT",1206,43.4361219060324,-0.003569039874899,0.0270805820930555,-0.131793321969037,0.895147768773288,0.999974208147515,43.6850157975091,44.9458387609094,41.9616154018758,43.1520176638354
"96","aroA",1275,1257,1284,9,0,427,2276,427,0,0,0.00700934579439252,99,"aroA",505,30.8146615850196,-0.00253365232034885,0.023017249905913,-0.110076239807345,0.912348911517647,0.999974208147515,27.7026929447619,35.1750042476682,26.6098048889944,33.7711442586538
"97","aroB",1085,1077,1089,4,0,361,1899,362,1,0,0.00367309458218549,100,"aroB",1769,83.9569660246631,-0.00589840450525803,0.0340470506656469,-0.17324274467067,0.862460626185066,0.999974208147515,74.5841733128204,96.7312616810876,71.6417823934464,92.870646711298
"98","aroC",1050,978,1086,36,0,360,1903,361,1,0,0.0331491712707182,101,"aroC",1248,26.2855258386966,0.00718150272917843,0.0215755870586758,0.332853178439502,0.739245114160141,0.999974208147515,26.6372047545787,22.4729193804547,30.7036210257628,25.3283581939904
"99","aroD",745,717,759,14,0,248,1294,252,4,0,0.0184453227931489,102,"aroD",904,9.24377612161896,0.000242204652178273,0.0133498391444835,0.0181428891806804,0.985524862955434,0.999974208147515,9.58939371164833,8.79375106191705,9.21108630772883,9.38087340518162
"100","aroE",810,792,819,9,0,268,1416,272,4,0,0.010989010989011,103,"aroE",1728,77.5058604810323,-0.000255794389430281,0.0341582301968071,-0.00748851412841031,0.994025086037022,0.999974208147515,79.9116142637361,75.235425751957,79.8294146669832,75.0469872414529
"101","aroF",1066,1056,1071,5,0,354,1904,356,2,0,0.00466853408029879,104,"aroF",1399,113.422135232067,-0.00770862901977287,0.038252950883179,-0.201517238325334,0.840294151671469,0.999974208147515,104.417842637949,127.020848672135,100.298495350825,121.951354267361
"102","aroG",1037,1005,1053,16,0,349,1864,350,1,0,0.0151946818613485,105,"aroG",390,51.0870560457,-0.0020419896739077,0.0279348744765194,-0.0730982226400943,0.941727956004262,0.999974208147515,43.6850157975091,59.6020905307711,41.9616154018758,59.0995024526442
"103","aroH",1035,1011,1047,12,0,347,1871,348,1,0,0.0114613180515759,106,"aroH",914,10.9244250783317,-0.000958120214373381,0.014350114336871,-0.0667674272052035,0.946766854848605,0.999974208147515,9.58939371164833,12.7020848672135,9.21108630772883,12.1951354267361
"104","aroM",675,669,678,3,0,225,1159,225,0,0,0.00442477876106195,107,"aroM",203,17.6004662776148,-0.000481276390922811,0.0177843729355763,-0.027061757682783,0.978410476529572,0.999974208147515,14.9168346625641,20.5187524778065,14.3283564786893,20.6379214913996
"105","aroP",1372,1368,1374,2,0,457,2367,457,0,0,0.00145560407569141,108,"aroP",77,148.761302872408,-0.00980053461660036,0.0422632716922003,-0.231892473634715,0.816621530383564,0.999974208147515,160.888716717655,142.654183893321,154.541559163006,136.960751715652
